"Consumption Report (Mar 22 2014 to Apr 15 2014)"
Item," ADMIN"," AMD"," FAG"," MIG"," FG"," FRG"," PAYROLL"," AP"," AR"," CRG"," IT"," TREASURY"," MSG"," Total"
"Car Engine"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Lucky Me Instant Noodles"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Lucky Me Pancit Canton"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Sledge Hammer"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Coleman Water Jug"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0",5
Keyboard," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
Mouse," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"RJ Cable"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0",10
Telephone," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0",3
"A2 Bond Paper"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1100"," 0"," 0",1100
"A2 Bond Paper"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Mongoloid Pencil"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0",8
"Orion Ruler"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Panda Ballpen"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 105"," 0"," 0",105
"Pilot Ballpen"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 70"," 0"," 0",70
"Staedtler Eraser"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0",10
Watercolor," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
Total," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",3," 0",1308," 0"," 0",1311
