"Consumption Report (Mar 20 2015 to Apr 20 2016)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," AUDIT"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"CD-R "," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 21"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",31
CD-R," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
CDRW," 0"," 0"," 0"," 0"," 0"," 0"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",30
DVD," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",20
DVDR," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 65"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",95
"A4TECH  KEYBOARD"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1",4
"BALLPEN BLACK"," 2"," 36"," 2"," 1"," 12"," 5"," 0"," 9"," 23"," 26"," 0"," 31"," 0"," 3"," 0"," 3"," 19"," 5"," 0"," 15"," 5"," 11"," 41"," 25"," 36"," 6"," 9"," 0"," 0"," 4"," 0"," 0"," 32"," 0"," 25"," 70"," 30",578
"BALLPEN BLUE"," 8"," 32"," 0"," 0"," 13"," 1"," 0"," 2"," 6"," 7"," 0"," 20"," 0"," 6"," 0"," 4"," 8"," 0"," 0"," 9"," 2"," 0"," 17"," 0"," 15"," 3"," 7"," 0"," 0"," 4"," 0"," 0"," 32"," 0"," 0"," 8"," 0",232
"BALLPEN RED"," 0"," 6"," 0"," 1"," 4"," 1"," 0"," 0"," 0"," 1"," 0"," 21"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 10"," 1"," 16"," 10"," 0"," 5"," 0"," 2"," 0"," 0"," 3"," 0"," 0"," 22"," 0"," 0"," 0"," 0",127
"BATTERY AA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",17
"BATTERY AAA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",14
"BATTERY D"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BOND PAPER LONG "," 38"," 37"," 939"," 124"," 199"," 2"," 0"," 9"," 26"," 74"," 32"," 28"," 3"," 293"," 0"," 9"," 101"," 2"," 1"," 28"," 7"," 71"," 56"," 16"," 5"," 0"," 13"," 0"," 0"," 36"," 0"," 0"," 52"," 0"," 2"," 1"," 0",2231
"BOND PAPER SHORT"," 2"," 33"," 69"," 79"," 107"," 5"," 0"," 20"," 30"," 170"," 46"," 156"," 10"," 115"," 0"," 17"," 81"," 3"," 1"," 32"," 14"," 53"," 90"," 16"," 10"," 13"," 27"," 0"," 0"," 23"," 0"," 0"," 2"," 0"," 2"," 27"," 0",1290
CALCULATOR," 0"," 0"," 2"," 1"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 5"," 0"," 0"," 7"," 2"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 2"," 0",33
"CARBON PAPER LONG"," 0"," 0"," 21"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 30"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",51
"CARBON PAPER SHORT"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 15"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",37
