"Consumption Report (May 4 2015 to Jan 20 2016)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN-ASSET"," ADMIN-COURIER"," ADMIN-FACILITY"," ADMIN-MATERIAL"," ADMIN-MONITORING"," ADMIN-SANITATION"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," AUDIT"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"CD-R "," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1
CDRW," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",30
DVD," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",20
DVDR," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 50"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",50
"A4TECH  KEYBOARD"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1",4
"BALLPEN BLACK"," 2"," 36"," 0"," 1"," 12"," 0"," 57"," 12"," 23"," 5"," 0"," 0"," 9"," 23"," 25"," 0"," 31"," 0"," 3"," 0"," 3"," 11"," 4"," 0"," 14"," 5"," 6"," 34"," 25"," 36"," 6"," 9"," 0"," 0"," 4"," 0"," 0"," 22"," 0"," 17"," 70"," 30",535
"BALLPEN BLUE"," 8"," 32"," 0"," 0"," 9"," 0"," 2"," 10"," 16"," 1"," 0"," 0"," 2"," 6"," 7"," 0"," 20"," 0"," 6"," 0"," 4"," 6"," 0"," 0"," 8"," 2"," 0"," 17"," 0"," 10"," 3"," 7"," 0"," 0"," 4"," 0"," 0"," 22"," 0"," 0"," 8"," 0",210
"BALLPEN RED"," 0"," 1"," 0"," 1"," 4"," 0"," 7"," 1"," 13"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 21"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 9"," 1"," 9"," 10"," 0"," 5"," 0"," 2"," 0"," 0"," 3"," 0"," 0"," 22"," 0"," 0"," 0"," 0",113
"BATTERY AA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",17
"BATTERY AAA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 14"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",14
