"Consumption Report (Jun 1 2015 to Jul 13 2015)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN-ASSET"," ADMIN-COURIER"," ADMIN-FACILITY"," ADMIN-MATERIAL"," ADMIN-MONITORING"," ADMIN-SANITATION"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
CDRW," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
DVD," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
DVDR," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BALLPEN BLACK"," 0"," 4"," 0"," 0"," 7"," 0"," 20"," 10"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 5"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10",76
"BALLPEN BLUE"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 10"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",24
"BALLPEN RED"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",10
"BATTERY AA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BATTERY AAA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BATTERY D"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BOND PAPER LONG "," 0"," 4"," 120"," 13"," 26"," 0"," 1"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 12"," 0"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0",207
