"Consumption Report (Jul 1 2015 to Sep 30 2015)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN-ASSET"," ADMIN-COURIER"," ADMIN-FACILITY"," ADMIN-MATERIAL"," ADMIN-MONITORING"," ADMIN-SANITATION"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," AUDIT"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"A4TECH  KEYBOARD"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BALLPEN BLACK"," 1"," 9"," 0"," 1"," 0"," 0"," 17"," 2"," 14"," 2"," 0"," 0"," 9"," 23"," 3"," 0"," 24"," 0"," 0"," 0"," 3"," 2"," 4"," 0"," 7"," 4"," 6"," 12"," 5"," 26"," 6"," 3"," 0"," 0"," 4"," 0"," 0"," 6"," 0"," 8"," 26"," 20",247
"BALLPEN BLUE"," 2"," 19"," 0"," 0"," 9"," 0"," 2"," 0"," 12"," 1"," 0"," 0"," 2"," 6"," 3"," 0"," 20"," 0"," 5"," 0"," 4"," 0"," 0"," 0"," 3"," 2"," 0"," 8"," 0"," 10"," 3"," 3"," 0"," 0"," 4"," 0"," 0"," 6"," 0"," 0"," 0"," 0",124
"BALLPEN RED"," 0"," 1"," 0"," 1"," 0"," 0"," 7"," 1"," 10"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 20"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 3"," 0"," 9"," 4"," 0"," 5"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 6"," 0"," 0"," 0"," 0",72
"BATTERY AA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",14
"BATTERY AAA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 14"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",14
"BATTERY D"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BOND PAPER LONG "," 3"," 13"," 345"," 55"," 58"," 0"," 10"," 0"," 3"," 0"," 0"," 0"," 4"," 16"," 36"," 21"," 12"," 3"," 120"," 0"," 7"," 20"," 2"," 0"," 11"," 5"," 11"," 19"," 5"," 0"," 0"," 0"," 0"," 0"," 23"," 0"," 0"," 14"," 0"," 0"," 1"," 0",817
"BOND PAPER SHORT"," 2"," 13"," 43"," 48"," 62"," 0"," 10"," 2"," 3"," 3"," 0"," 0"," 11"," 20"," 54"," 34"," 27"," 5"," 35"," 0"," 17"," 25"," 3"," 1"," 4"," 9"," 35"," 43"," 3"," 0"," 0"," 11"," 0"," 0"," 16"," 0"," 0"," 1"," 0"," 0"," 11"," 0",551
CALCULATOR," 0"," 0"," 2"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 2"," 0",12
