"Consumption Report (Jul 1 2015 to Dec 31 2015)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN-ASSET"," ADMIN-COURIER"," ADMIN-FACILITY"," ADMIN-MATERIAL"," ADMIN-MONITORING"," ADMIN-SANITATION"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," AUDIT"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"A4TECH  KEYBOARD"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1",3
"BALLPEN BLACK"," 2"," 23"," 0"," 1"," 5"," 0"," 37"," 2"," 23"," 5"," 0"," 0"," 9"," 23"," 25"," 0"," 31"," 0"," 1"," 0"," 3"," 11"," 4"," 0"," 14"," 5"," 6"," 27"," 15"," 36"," 6"," 9"," 0"," 0"," 4"," 0"," 0"," 22"," 0"," 17"," 63"," 20",449
"BALLPEN BLUE"," 8"," 23"," 0"," 0"," 9"," 0"," 2"," 0"," 16"," 1"," 0"," 0"," 2"," 6"," 7"," 0"," 20"," 0"," 6"," 0"," 4"," 6"," 0"," 0"," 8"," 2"," 0"," 14"," 0"," 10"," 3"," 7"," 0"," 0"," 4"," 0"," 0"," 22"," 0"," 0"," 8"," 0",188
"BALLPEN RED"," 0"," 1"," 0"," 1"," 0"," 0"," 7"," 1"," 13"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 21"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 9"," 1"," 9"," 7"," 0"," 5"," 0"," 2"," 0"," 0"," 3"," 0"," 0"," 22"," 0"," 0"," 0"," 0",106
"BATTERY AA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",17
"BATTERY AAA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 14"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",14
"BATTERY D"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BOND PAPER LONG "," 23"," 13"," 619"," 71"," 143"," 0"," 17"," 1"," 8"," 1"," 0"," 0"," 4"," 21"," 62"," 24"," 15"," 3"," 200"," 0"," 7"," 48"," 2"," 0"," 25"," 7"," 27"," 39"," 10"," 0"," 0"," 13"," 0"," 0"," 25"," 0"," 0"," 33"," 0"," 0"," 1"," 0",1462
"BOND PAPER SHORT"," 2"," 14"," 43"," 61"," 87"," 0"," 18"," 6"," 9"," 4"," 0"," 0"," 15"," 25"," 113"," 36"," 136"," 5"," 70"," 0"," 17"," 55"," 3"," 1"," 26"," 14"," 38"," 69"," 10"," 5"," 7"," 27"," 0"," 0"," 18"," 0"," 0"," 1"," 0"," 0"," 20"," 0",955
CALCULATOR," 0"," 0"," 2"," 1"," 2"," 0"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 4"," 0"," 0"," 3"," 2"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 2"," 0",25
"CARBON PAPER LONG"," 0"," 0"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",20
"CARBON PAPER SHORT"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",27
"CBP BOX "," 0"," 30"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 20"," 50"," 20"," 60"," 4"," 440"," 3"," 0"," 0"," 13"," 0"," 0"," 100"," 0"," 0"," 3"," 0",754
