"Consumption Report (Oct 1 2015 to Dec 31 2015)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN-ASSET"," ADMIN-COURIER"," ADMIN-FACILITY"," ADMIN-MATERIAL"," ADMIN-MONITORING"," ADMIN-SANITATION"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," AUDIT"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"A4TECH  KEYBOARD"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1",3
"BALLPEN BLACK"," 1"," 14"," 0"," 0"," 5"," 0"," 20"," 0"," 9"," 3"," 0"," 0"," 0"," 0"," 22"," 0"," 7"," 0"," 1"," 0"," 0"," 9"," 0"," 0"," 7"," 1"," 0"," 15"," 10"," 10"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 16"," 0"," 9"," 37"," 0",202
"BALLPEN BLUE"," 6"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 1"," 0"," 0"," 6"," 0"," 0"," 5"," 0"," 0"," 6"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 16"," 0"," 0"," 8"," 0",64
"BALLPEN RED"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 6"," 1"," 0"," 3"," 0"," 0"," 0"," 2"," 0"," 0"," 1"," 0"," 0"," 16"," 0"," 0"," 0"," 0",34
"BATTERY AA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",3
"BATTERY AAA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BATTERY D"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BOND PAPER LONG "," 20"," 0"," 274"," 16"," 85"," 0"," 7"," 1"," 5"," 1"," 0"," 0"," 0"," 5"," 26"," 3"," 3"," 0"," 80"," 0"," 0"," 28"," 0"," 0"," 14"," 2"," 16"," 20"," 5"," 0"," 0"," 13"," 0"," 0"," 2"," 0"," 0"," 19"," 0"," 0"," 0"," 0",645
"BOND PAPER SHORT"," 0"," 1"," 0"," 13"," 25"," 0"," 8"," 4"," 6"," 1"," 0"," 0"," 4"," 5"," 59"," 2"," 109"," 0"," 35"," 0"," 0"," 30"," 0"," 0"," 22"," 5"," 3"," 26"," 7"," 5"," 7"," 16"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 9"," 0",404
CALCULATOR," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 3"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0",13
"CARBON PAPER LONG"," 0"," 0"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",20
"CARBON PAPER SHORT"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",10
"CBP BOX "," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 30"," 3"," 90"," 3"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 3"," 0",144
"CORRECTION TAPE "," 5"," 7"," 0"," 1"," 4"," 0"," 3"," 0"," 2"," 1"," 0"," 0"," 7"," 0"," 6"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 3"," 0",51
"CORRECTION TAPE REFILL"," 32"," 19"," 0"," 10"," 19"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 10"," 0"," 0"," 11"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 1"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 18"," 0"," 0"," 34"," 0",163
"DOUBLE CLIP 1"," 7"," 6"," 10"," 0"," 7"," 0"," 6"," 0"," 1"," 3"," 0"," 0"," 5"," 0"," 12"," 1"," 0"," 0"," 20"," 0"," 0"," 13"," 0"," 0"," 6"," 1"," 1"," 6"," 0"," 0"," 10"," 0"," 0"," 0"," 1"," 0"," 0"," 6"," 0"," 0"," 6"," 0",128
"DOUBLE CLIP 2"," 8"," 6"," 5"," 0"," 5"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 15"," 0"," 0"," 2"," 1"," 0"," 8"," 20"," 2"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0",102
"DOUBLE CLIP 3/4"," 3"," 6"," 0"," 6"," 15"," 0"," 6"," 0"," 1"," 0"," 0"," 0"," 2"," 0"," 5"," 2"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 7"," 3"," 0"," 1"," 0"," 1"," 40"," 2"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 2"," 0",118
"ENVELOPE EXPANDED"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 400"," 0"," 0"," 0"," 0"," 0"," 55"," 0"," 0"," 25"," 10"," 15"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0",515
"ENVELOPE LONG"," 0"," 50"," 0"," 90"," 0"," 0"," 0"," 0"," 29"," 0"," 0"," 0"," 0"," 0"," 0"," 1010"," 10"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 35"," 0"," 0"," 200"," 10"," 10"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1459
"ENVELOPE SHORT"," 0"," 25"," 0"," 0"," 0"," 0"," 0"," 0"," 20"," 0"," 0"," 0"," 0"," 0"," 0"," 30"," 10"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 35"," 0"," 0"," 205"," 10"," 15"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",355
"EPSON 8750 RIBBON BLACK "," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0",10
"EPSON BLACK INK T6641"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 13"," 0",21
"EPSON INK CYAN T6642"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"EPSON INK MAGENTA T6643"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"EPSON INK YELLOW T6644"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"EPSON S015632 RIBBON LX310"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 22"," 0"," 0",22
