"Consumption Report (May 1 2017 to Sep 4 2017)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE1"," AMD-PRESTIGE2"," AMD-PRESTIGE3"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," APD"," AMG"," AUDIT"," BRSD"," CProcure"," CRG"," CRG"," CMGARC"," CMGEWC"," CMGLCT"," CMGMH"," CMGNP"," CMGSPW"," CMGSS"," CMGTCV"," OP-COMP"," CompG"," CMDSite"," Contracts"," CACD"," CC"," CSR"," CMG"," DRC"," ERP"," ELB"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," EMG"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," P&S"," ISM"," Landscape"," LIBRARY"," MAG"," MAG"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," SVP"," CONTROLLERSHIP"," OPS"," ARCHIVES"," PSIG"," PROCOM"," PB"," PCS"," PSSP"," PCM"," PDD"," PDS"," PRC"," Procure"," QCM"," QSD"," SPD"," SCP"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"CD-R "," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"
CD-R," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"
CDRW," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"
DVD-RW," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 100 (Php 100.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)","100 (Php 100.00)"
DVDR," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"
"A4TECH  KEYBOARD"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"
"BALLPEN BLACK"," 0 (Php 0.00)"," 0 (Php 0.00)"," 12 (Php 12.00)"," 2 (Php 2.00)"," 3 (Php 3.00)"," 1 (Php 1.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 4 (Php 4.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 3 (Php 3.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 2 (Php 2.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 7 (Php 7.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 4 (Php 4.00)"," 10 (Php 10.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 2 (Php 2.00)"," 0 (Php 0.00)","50 (Php 50.00)"
"BALLPEN BLUE"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 3 (Php 3.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 1 (Php 1.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 6 (Php 6.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 2 (Php 2.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)","12 (Php 12.00)"
"BALLPEN RED"," 0 (Php 0.00)"," 0 (Php 0.00)"," 2 (Php 2.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 1 (Php 1.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 3 (Php 3.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)","6 (Php 6.00)"
"BATTERY AA"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"," 0 (Php 0.00)"
