"Daily Approved Request Report from 8:30 to 11 am (Aug 14 2015)"
Item," 2015-1439518004"," 2015-1439514475"," 2015-1439513555"," 2015-1439431013"," 2015-1439429453"," 2015-1439427608"," Total"
ALCOHOL,2,0,10,3,0,2,17
"BALLPEN BLACK",0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,20,0,20,0,40
"BOND PAPER SHORT",0,0,0,0,0,0,0
CALCULATOR,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,1,0,0,1
"CORRECTION TAPE REFILL",8,0,0,0,0,0,8
"DOUBLE CLIP 1",5,0,0,0,0,0,5
"DOUBLE CLIP 2",0,0,0,0,0,0,0
"DOUBLE CLIP 3/4""",5,0,0,0,0,0,5
DVD,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0
"ENVELOPE LONG",0,0,0,0,0,0,0
"ENVELOPE SHORT",0,0,0,0,0,0,0
"EPSON BLACK INK",0,0,0,0,0,0,0
"EPSON INK CYAN ",0,0,0,0,0,0,0
"EPSON INK MAGENTA",0,0,0,0,0,0,0
"EPSON INK YELLOW",0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,1,1,0,0,2
"FAX PAPER",0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,0
"HP TONER 125 BLACK",0,0,0,0,0,0,0
"HP TONER 125 CYAN",0,0,0,0,0,0,0
"HP TONER 125 MAGENTA",0,0,0,0,0,0,0
"HP TONER 125 YELLOW",0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0
"HP TONER 85A",1,1,0,0,0,0,2
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0
"LETTER HEAD",0,3000,0,0,0,0,3000
"MAGAZINE FILE",0,0,0,0,0,1,1
"MEMO PAD",0,0,0,0,0,0,0
"NEWSPRINT LONG",0,0,0,0,0,0,0
"NEWSPRINT SHORT",0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0
"PAPER CLIP SMALL",0,0,0,0,0,0,0
"PENCIL MONGOL",0,0,0,1,0,0,1
"PENTEL PEN BLACK",5,0,0,1,0,0,6
"PENTEL PEN BLUE",0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,2,0,0,0,2
"PILOT BX-V5 SIGNPEN BLACK",4,0,3,1,0,1,9
"PILOT BX-V5 SIGNPEN BLUE",0,0,2,1,0,1,4
"PILOT BX-V5 SIGNPEN GREEN",0,1,1,0,0,0,2
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,1,0,0,0,1
RULER,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0
