"Daily Approved Request Report from 8:30am to 3:00pm (Aug 24 2015)"
Item," 2015-1440384140"," 2015-1440382221"," 2015-1440382052"," 2015-1440381063"," 2015-1440053438"," Total"
ALCOHOL,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,5,5
"BALLPEN RED",0,0,0,0,5,5
"BATTERY AA",0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0
"BOND PAPER LONG ",0,4,0,6,0,10
"BOND PAPER SHORT",0,2,0,0,0,2
CALCULATOR,0,0,2,0,0,2
"CARBON PAPER LONG",0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0
CDRW,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,0,0,0
"DOUBLE CLIP 1",3,0,0,0,0,3
"DOUBLE CLIP 2",0,0,0,0,1,1
"DOUBLE CLIP 3/4""",0,0,0,0,0,0
DVD,0,0,0,0,0,0
DVDR,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,5,5
"ENVELOPE LONG",0,0,0,0,0,0
"ENVELOPE SHORT",0,0,0,0,0,0
"EPSON BLACK INK",0,0,0,1,0,1
"EPSON INK CYAN ",0,0,0,1,0,1
"EPSON INK MAGENTA",0,0,0,0,0,0
"EPSON INK YELLOW",0,0,0,1,0,1
"FASTENER METAL ",0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0
"FAX PAPER",0,0,0,0,0,0
"FOLDER GREEN",5,0,0,0,0,5
"FOLDER LONG",0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,0,0
"GLUE ",3,0,0,0,1,4
"HP INK 21 BLACK",0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0
