"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2015-1440555161"," 2015-1440554464"," 2015-1440554160"," 2015-1440550558"," 2015-1440547162"," 2015-1440483103"," 2015-1440480664"," 2015-1440478735"," 2015-1440472401"," 2015-1440469223"," Total"
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,3,0,1,10,10,0,0,0,24
"BOND PAPER SHORT",0,0,0,0,1,0,0,0,10,0,11
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,10,3,0,0,0,0,0,13
"DOUBLE CLIP 1",0,0,0,0,5,6,0,0,0,2,13
"DOUBLE CLIP 2",0,0,0,0,0,6,0,0,0,2,8
"DOUBLE CLIP 3/4""",0,0,0,0,5,6,0,0,0,2,13
DVD,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,20,0,0,0,0,0,20
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE SHORT",0,20,0,0,0,0,0,0,0,0,20
"EPSON BLACK INK",0,4,0,0,0,0,0,0,0,0,4
"EPSON INK CYAN ",0,2,0,0,0,0,0,0,0,0,2
"EPSON INK MAGENTA",0,2,0,0,0,0,0,0,0,0,2
"EPSON INK YELLOW",0,2,0,0,0,0,0,0,0,0,2
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,3,3,0,1,0,0,0,2,0,9
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,4,0,2,0,0,0,3,9
"HP TONER 125 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,1,0,0,1
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,1,1
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",1,0,4,0,3,0,0,5,2,2,17
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,200,0,0,0,0,0,2,0,0,202
LOGBOOK,0,0,0,0,0,0,0,0,0,2,2
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",0,0,0,0,3,0,5,0,0,0,8
"NEWSPRINT SHORT",0,0,0,0,3,0,0,0,0,0,3
NOTEBOOK,0,10,0,0,0,0,0,0,0,0,10
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,10,0,0,0,0,10
"PAPER CLIP SMALL",0,0,0,0,0,10,0,0,0,0,10
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,1,0,0,0,0,0,0,0,0,1
"PENTEL PEN BLUE",0,1,0,0,0,0,0,0,0,0,1
"PENTEL PEN RED",0,1,0,0,0,0,0,0,0,0,1
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,2,0,0,0,0,0,0,0,2
"PILOT BX-V5 SIGNPEN BLUE",0,0,2,0,0,0,0,0,0,0,2
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",10,0,0,0,0,0,0,0,0,1,11
RULER,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",3,0,0,0,0,0,0,0,0,0,3
"STABILO GREEN",3,0,0,0,0,1,0,0,0,0,4
"STABILO ORANGE",3,0,0,0,0,0,0,0,0,0,3
"STABILO PINK",3,0,0,0,0,0,0,0,0,0,3
"STABILO YELLOW",0,0,0,0,2,0,0,0,0,0,2
"STAMP PAD INK BLUE",0,0,0,0,1,0,0,0,0,0,1
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,0,0,0
"STAPLER #35 ",0,0,0,0,0,1,0,0,0,2,3
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,1,0,0,0,1,2
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,0,0,0,5,0,0,0,0,0,5
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0
