"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2177-1450402177"," 2015-1450330206"," 2015-1450329796"," 2015-1450329129"," 2015-1450315574"," 2015-1450256826"," 2015-1450243832"," 2015-1450234996"," 2015-1450158162"," 2015-1450148493"," 2015-1450145770"," 2015-1450143254"," 2015-1450081761"," 2015-1449824597"," 2015-1449821767"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,5,8,7,0,0,0,0,0,0,3,0,6,0,3,0,32
"BALLPEN BLACK",0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,11
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,7
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",5,0,0,0,20,0,5,0,0,0,0,0,0,0,0,30
"BOND PAPER SHORT",0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,6
CALCULATOR,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,60
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,6
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DOUBLE CLIP 3/4",0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"ENVELOPE LONG",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
"ENVELOPE SHORT",11,0,0,10,0,0,0,0,0,0,0,0,0,0,80,101
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,4
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,10,10,0,0,0,0,0,20,0,60,80,100,0,280
"FOLDER LONG",0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,30
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
"HP INK 704 COLORED",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
