"Daily Approved Request Report from 8:30am to 3:00pm (Jan 16 2016)"
Item," 2016-1452835894"," 2016-1452824624"," 2016-1452822857"," 2016-1452820455"," 2016-1452817346"," 2016-1452752854"," 2016-1452750063"," 2016-1452732661"," 2016-1452663904"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0
ALCOHOL,6,0,6,0,5,0,0,0,2,19
"BALLPEN BLACK",0,0,0,0,0,1,0,0,0,1
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,1,0,0,0,1
"BATTERY AA",0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",5,0,2,0,2,0,0,0,6,15
"BOND PAPER SHORT",5,0,2,0,0,2,0,1,4,14
CALCULATOR,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,10,0,2,0,0,0,0,0,12
"CD-R ",0,0,0,0,0,25,0,0,0,25
CDRW,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,2,0,1,0,0,3
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 1",0,0,0,0,2,0,5,0,0,7
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 3/4",0,0,0,0,2,0,5,0,0,7
DVD,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,10,0,0,0,10
"ENVELOPE EXPANDED",0,0,0,0,25,0,0,0,0,25
"ENVELOPE LONG",0,0,0,0,0,20,0,20,25,65
"ENVELOPE SHORT",0,0,0,0,0,10,0,20,15,45
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,3,3
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,3,3
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,3,3
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,3,3
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,10,0,0,0,0,0,1,11
"FAX PAPER",0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,50,0,0,0,32,82
"FOLDER LONG",0,0,0,0,0,0,0,0,5,5
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,0,0,1,0,1
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,6,6
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,6,6
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,1,0,0,0,1
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,1,1
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,1,0,0,1
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",6,0,0,0,4,0,0,0,0,10
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,1,1,0,2
LOGBOOK,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,7,0,0,20,0,0,0,0,27
"MEMO PAD",0,0,0,0,0,0,2,0,0,2
"NEWSPRINT LONG",0,0,0,0,3,0,0,0,0,3
"NEWSPRINT SHORT",0,0,0,0,2,2,0,6,1,11
NOTEBOOK,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,1,0,0,1
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,1,0,0,0,0,0,0,0,1
"PAPER CLIP SMALL",0,0,0,0,0,0,0,1,0,1
"PENCIL MONGOL",0,0,0,0,0,1,0,0,0,1
"PENTEL PEN BLACK",0,0,0,0,0,0,2,2,0,4
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,3,0,3
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",6,0,0,0,1,0,0,0,0,7
"PILOT BX-V5 SIGNPEN BLUE",6,0,0,0,0,0,0,0,1,7
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,1,0,0,0,0,1
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,1,1
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,1,0,0,1
PUNCHER,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",2,0,0,0,0,0,0,0,0,2
RULER,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,1,1
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,0
"STABILO PINK",0,0,0,0,0,0,0,0,0,0
"STABILO YELLOW",0,0,0,0,0,0,0,0,0,0
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,1,0,1
"STAPLE WIRE BIG",0,0,0,0,0,0,0,1,0,1
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0
