"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1454030207"," 2016-1453971768"," 2016-1453971670"," 2016-1453971134"," 2016-1453959688"," 2016-1453948486"," 2016-1453946993"," 2016-1453944219"," 2016-1453886188"," 2016-1453886021"," 2016-1453885486"," 2016-1453883977"," 2016-1453876864"," 2016-1453869408"," 2016-1453867749"," 2016-1453856331"," 2016-1453796713"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"BALLPEN BLACK",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",2,0,0,0,10,5,0,3,0,5,0,0,0,0,0,15,0,40
"BOND PAPER SHORT",2,0,2,0,0,5,0,3,0,5,0,0,0,5,0,0,5,27
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,25
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",6,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,10,27
"DOUBLE CLIP 1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
