"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1454985787"," 2016-1454653130"," 2016-1454644681"," 2016-1454638726"," 2016-1454638559"," 2016-1454638418"," 3029-1453433029"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0
ALCOHOL,0,0,7,0,0,0,0,7
"BALLPEN BLACK",0,0,1,0,0,1,5,7
"BALLPEN BLUE",0,0,0,0,0,0,5,5
"BALLPEN RED",0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0
"BOND PAPER LONG ",10,0,0,1,2,1,10,24
"BOND PAPER SHORT",0,0,0,2,2,4,10,18
CALCULATOR,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,1,6,7
"CORRECTION TAPE REFILL",0,0,0,0,0,0,26,26
"DOUBLE CLIP 1",0,50,0,0,0,0,3,53
"DOUBLE CLIP 2",0,0,0,0,0,0,3,3
"DOUBLE CLIP 3/4",0,0,0,0,0,0,3,3
DVD,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,5,0,5
"ENVELOPE LONG",0,0,0,30,0,25,0,55
"ENVELOPE SHORT",0,0,0,40,0,25,0,65
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,50,0,0,0,0,15,65
"FAX PAPER",0,0,0,0,0,0,0,0
"FOLDER GREEN",100,0,0,0,0,0,0,100
"FOLDER LONG",0,0,0,0,0,0,10,10
"FOLDER SHORT",0,0,0,0,0,0,10,10
"GLUE ",0,0,0,0,0,0,0,0
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,5,5
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,2,0,0,0,5,7
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,4,4,8
LOGBOOK,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,2,2
"NEWSPRINT LONG",10,0,1,0,0,0,10,21
"NEWSPRINT SHORT",0,0,1,0,0,0,10,11
NOTEBOOK,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,2,2
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,2,2
"PAPER CLIP SMALL",0,0,0,0,0,0,2,2
"PENCIL MONGOL",0,0,0,0,0,0,5,5
"PENTEL PEN BLACK",0,0,0,0,0,0,3,3
"PENTEL PEN BLUE",0,0,0,0,0,0,1,1
"PENTEL PEN RED",0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,2,0,0,0,2
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,1,0,0,0,15,16
"PILOT BX-V5 SIGNPEN BLUE",0,0,1,0,0,0,24,25
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,20,20
PUNCHER,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,5,5
"RUBBER BAND SMALL",0,0,0,0,0,1,5,6
RULER,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,2,2
"STABILO GREEN",0,0,0,0,0,0,2,2
"STABILO ORANGE",0,0,0,0,0,0,2,2
"STABILO PINK",0,0,0,0,0,0,2,2
"STABILO YELLOW",0,0,0,0,0,0,2,2
"STAMP PAD INK BLUE",0,0,0,0,0,0,2,2
"STAPLE WIRE BIG",0,0,0,0,0,2,11,13
"STAPLER #35 ",0,0,0,0,0,2,0,2
"TAPE DISPENSER BIG",0,0,0,0,0,1,0,1
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,25,0,10,0,35
"TAPE SCOTCH 1'",0,50,1,0,0,2,10,63
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0
Total,120,150,15,100,4,84,259,732
