"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1455170531"," 2016-1455170268"," 2016-1455162562"," 2016-1455152616"," 2016-1455149798"," 2016-1455088751"," 2016-1455084393"," 2016-1455082512"," 2016-1455072102"," 2016-1455066728"," 2016-1454656580"," 2016-1454296294"," 2016-1454143141"," 2016-1454142948"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,7,10,4,2,5,28
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,10,1,0,2,4,17
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,5,0,0,2,0,7
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,2,1,1,0,0,0,0,0,0,0,0,0,4
"BOND PAPER SHORT",0,0,2,0,0,5,0,0,0,0,6,0,0,0,13
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,1,0,2,0,3
"CORRECTION TAPE REFILL",0,0,4,0,0,0,0,0,0,0,15,0,0,0,19
"DOUBLE CLIP 1",0,0,0,6,0,3,0,0,0,2,6,0,0,0,17
