"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1457666380"," 2016-1457666217"," 2016-1457664866"," 2498-1457572498"," 2246-1457512246"," 1511-1457511511"," 4357-1457494357"," 7252-1457417252"," 6795-1457406795"," 2016-1457340673"," 2016-1457335356"," 2016-1456989547"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,1,0,0,0,5,0,2,0,0,5,4,17
"BALLPEN BLUE",0,1,0,0,0,6,0,4,0,0,5,0,16
"BALLPEN RED",0,1,0,0,0,3,0,0,0,0,0,0,4
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",5,0,0,2,0,5,2,10,0,10,0,0,34
"BOND PAPER SHORT",5,0,0,2,0,5,3,10,5,3,0,2,35
CALCULATOR,0,1,0,0,0,0,0,0,0,0,0,0,1
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,2,0,0,0,0,3,0,0,2,0,0,7
"CORRECTION TAPE REFILL",0,0,0,0,0,15,0,0,0,15,0,5,35
"DOUBLE CLIP 1",0,0,0,0,0,2,2,0,10,0,0,0,14
"DOUBLE CLIP 2",0,0,0,0,0,2,2,0,10,0,0,0,14
"DOUBLE CLIP 3/4",0,0,0,0,0,0,2,0,10,0,0,0,12
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0
