"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1457669293"," 2016-1457664374"," 2016-1457660262"," 6146-1457506146"," 6521-1457426521"," 5600-1457425600"," 3770-1457403770"," 2016-1457331094"," 2016-1457330291"," 2016-1457322785"," 2016-1457317779"," 2016-1457314768"," 2016-1457138701"," 2016-1457079966"," 2016-1457079508"," 2016-1457079266"," 2016-1457079109"," 2016-1457078987"," 2016-1457078369"," 2016-1457073415"," 2016-1457055450"," 2016-1457051713"," 2016-1457000208"," 2016-1456993305"," 2016-1456992357"," 2016-1456983137"," 2016-1456977586"," 2016-1456970140"," 2016-1456966909"," 2016-1456910170"," 2016-1456896996"," 2016-1456880093"," 2016-1456802930"," 2016-1456801702"," 2016-1456799350"," 2016-1456799212"," 2016-1456198811"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,10
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",1,2,0,0,0,0,10,5,0,0,0,4,10,0,0,2,1,1,2,0,5,10,5,0,0,0,2,0,0,0,0,0,10,0,0,0,0,70
"BOND PAPER SHORT",0,2,0,0,0,0,2,5,0,5,0,4,0,0,0,2,3,2,2,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34
