"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2962-1458522962"," 0854-1458520854"," 2016-1458351276"," 2016-1458266995"," 2016-1458262724"," 2016-1458203902"," 2016-1458196331"," 2016-1458183160"," 2016-1458115405"," 2016-1458099755"," 2016-1458011227"," 2016-1458010035"," 2016-1458006390"," 2016-1458006096"," 2016-1458006045"," 2016-1458004123"," 2016-1457937880"," 2016-1457934198"," 2016-1457921253"," 2016-1457920181"," 2016-1457918887"," 2016-1457918451"," 2016-1457664238"," 2016-1456968180"," Total"
"A4TECH  KEYBOARD",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0,0,10,0,0,1,3,0,0,0,0,0,10,0,0,0,0,0,0,24
"BALLPEN BLUE",0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,23
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",4,15,3,3,1,0,0,0,0,10,0,7,0,4,0,0,0,5,0,0,0,0,0,3,55
"BOND PAPER SHORT",2,0,0,5,0,0,3,5,0,10,0,7,0,0,0,2,2,5,0,0,0,4,0,3,48
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
