"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1460601134"," 2016-1460600772"," 2016-1460599685"," 2016-1460507691"," 2016-1460505956"," 2016-1460432793"," 2016-1460424627"," 2016-1460339957"," 2016-1459735038"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0,0,5,5
"BATTERY AA",0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",5,0,5,0,5,0,12,0,5,32
"BOND PAPER SHORT",0,0,0,0,0,0,0,0,0,0
CALCULATOR,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,5,0,1,6
"CORRECTION TAPE REFILL",0,0,0,0,0,0,40,0,19,59
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 2",0,0,0,0,0,0,10,0,0,10
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,5,0,0,0,0,0,5
"ENVELOPE EXPANDED",50,0,0,0,0,0,0,0,0,50
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,0
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,4,4
"FAX PAPER",0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,5,0,1,0,0,6
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,1,0,0,0,1
"HP INK 22 TRI-COLOR",0,0,0,0,0,1,0,0,0,1
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,3,0,0,3
"HP INK 704 COLORED",0,0,0,0,0,0,3,0,0,3
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0
