"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1472520272"," 2016-1472189483"," 2016-1472176287"," 2016-1472174497"," 2016-1472103347"," 2016-1472094950"," 2016-1472094680"," 2016-1472093701"," 2016-1472016606"," 2016-1472010711"," 2016-1471947474"," 2016-1471917809"," 2016-1471855890"," 2016-1471855577"," 2016-1471847169"," 2016-1471846987"," 2016-1471842683"," 2016-1471838616"," 2016-1471835431"," 2016-1471832749"," 2016-1471827740"," 2016-1471588142"," 2016-1471587396"," 2016-1471570995"," 2016-1471506097"," 2016-1471499013"," 2016-1471394960"," 2016-1471250140"," 2016-1471051054"," 2016-1470964403"," 2016-1470963760"," 2016-1470878197"," 2016-1470208566"," 2016-1455172144"," 2016-1454641120"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,5,4,5,0,0,15,0,4,4,0,1,0,5,10,2,0,3,0,1,0,4,0,0,2,4,0,0,0,5,0,0,0,74
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,8,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,0,6,0,0,3,5,0,5,0,5,0,0,0,56
"BOND PAPER SHORT",0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,6,0,0,2,5,0,5,0,2,0,0,0,34
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,3,0,0,14
"CORRECTION TAPE REFILL",0,5,0,0,5,0,0,1,15,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,4,0,0,53
"DOUBLE CLIP 1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12
"DOUBLE CLIP 2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,85
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,0,15,0,10,0,0,10,50,0,0,0,20,0,0,0,155
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,50,0,0,0,0,0,0,0,105
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,7
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",6,10,0,30,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,125
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40
