"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1476947066"," 2016-1476945957"," 2016-1476943110"," 2016-1476844484"," 2016-1476841805"," 2016-1476841013"," 2016-1476751741"," 2016-1476671841"," 2016-1476669491"," 2016-1476405915"," 2016-1476328263"," 2016-1476274873"," 2016-1476274664"," 2016-1476256919"," 2016-1476251851"," 2016-1476239780"," 2016-1476237237"," 2016-1475649858"," 2016-1475115937"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,4,0,0,2,0,0,0,0,0,10,0,2,0,10,0,7,0,1,36
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",1,0,0,0,0,1,0,0,2,5,10,1,0,0,2,0,0,5,0,27
"BOND PAPER SHORT",1,0,0,0,1,1,0,0,3,0,20,1,0,0,2,0,0,5,0,34
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,8,0,0,0,0,2,0,0,10,0,0,0,20,0,0,0,0,40
"DOUBLE CLIP 1",1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5
"DOUBLE CLIP 2",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
