"Daily Approved Request Report from 8:30am to 3:00pm (Dec 16 2016)"
Item," 2016-1481859281"," 2016-1481595061"," 2016-1481533500"," 2016-1481346765"," 2016-1481346560"," 2016-1481188083"," 2016-1481183979"," 2016-1481167584"," 2016-1481164543"," 2016-1481163349"," 2016-1481162084"," 2016-1481161037"," 2016-1481092068"," 2016-1481075795"," 2016-1481003420"," 2016-1480928855"," 2016-1480916877"," 2016-1480903207"," 2016-1480903171"," 2016-1480903139"," 2016-1480902584"," 2016-1480899547"," 2016-1480737712"," 2016-1480647582"," 2016-1480645066"," 2016-1479872130"," 2016-1479712610"," 2016-1479698407"," 2016-1479263026"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,3,0,10,0,1,1,0,10,10,0,0,0,0,0,0,0,4,8,0,0,3,0,0,0,0,4,4,0,3,61
"BALLPEN BLACK",1,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,28
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,7
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,10,0,0,0,0,5,0,0,5,0,0,0,0,7,0,0,0,0,0,7,0,7,0,5,0,5,0,51
"BOND PAPER SHORT",0,0,10,0,0,0,0,5,10,0,7,0,0,5,0,0,1,0,0,0,0,0,0,3,0,5,0,0,0,46
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,10,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,34
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
