"Daily Approved Request Report from 12:00am to 11:59pm "
Item," 2017-1484532854"," 2017-1484288050"," 2017-1484271286"," 2017-1484271231"," 2017-1484217187"," 2017-1484210026"," 2017-1484188457"," 2017-1484186648"," 2017-1484102352"," 2017-1484015167"," 2017-1484014420"," 2017-1484010191"," 2017-1484008607"," 2017-1483950132"," 2017-1483929031"," 2017-1483927960"," 2017-1483923519"," 2017-1483691458"," 2017-1483683626"," 2017-1483681980"," 2017-1483680363"," 2017-1483680307"," 2017-1483674306"," 2017-1483667487"," 2017-1483667360"," 2017-1483596599"," 2017-1483585534"," 2017-1483580361"," 2017-1483579916"," 2017-1483509016"," 2017-1483491764"," 2017-1482905310"," 2017-1482886071"," 2017-1482803556"," 2017-1482123585"," 2017-1481522985"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,4,0,1,0,0,0,5,0,4,0,2,0,0,0,0,10,3,0,0,10,0,0,0,3,6,0,5,0,0,10,0,0,0,0,0,63
"BALLPEN BLACK",0,0,0,0,0,5,4,0,0,5,0,0,3,0,0,2,4,0,2,0,0,0,0,0,0,7,0,1,0,0,5,0,0,0,0,0,38
"BALLPEN BLUE",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15
"BALLPEN RED",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
"BOND PAPER SHORT",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,12
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
