"Daily Approved Request Report from 12:00am to 11:59pm "
Item," 2017-1493173559"," 2017-1493169918"," 2017-1493112557"," 2017-1493111915"," 2017-1493099182"," 2017-1493099073"," 2017-1493098904"," 2017-1493024905"," 2017-1493020983"," 2017-1493019855"," 2017-1492999817"," 2017-1492834107"," 2017-1492743816"," 2017-1492738054"," 2017-1492669443"," 2017-1492669397"," 2017-1492658632"," 2017-1492653214"," 2017-1492649249"," 2017-1492502273"," 2017-1491802602"," 2017-1491460350"," 2017-1491190932"," 2017-1490768513"," 2017-1489974100"," 2017-1489731967"," 2017-1489719914"," 2017-1489382169"," 2017-1489381978"," 2017-1489381947"," 2017-1489381939"," 2017-1489377341"," 2017-1489377326"," 2017-1489377320"," 2017-1489377313"," 2017-1489377263"," 2017-1488850630"," 2017-1488803985"," 2017-1487914242"," 2017-1487829926"," 2017-1487829914"," 2017-1487317791"," 2017-1486088195"," 2017-1486088172"," 2017-1486087676"," 2017-1486087619"," 2017-1486087610"," 2017-1486087574"," 2017-1486087550"," 2017-1486086879"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,1,0,1,0,0,20
"BALLPEN BLUE",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER A4-70 GSM",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"BOND PAPER LONG ",0,0,1,0,2,5,3,0,0,7,0,2,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
