"Daily Approved Request Report from 12:00am to 11:59pm (May 8 2017)"
Item," 2017-1493962183"," 2017-1493962120"," 2017-1493948854"," 2017-1493887806"," 2017-1493887400"," 2017-1493874597"," 2017-1493860896"," 2017-1493802649"," 2017-1493797518"," 2017-1493778532"," 2017-1493703888"," 2017-1493692367"," 2017-1493688030"," 2017-1493687196"," 2017-1493284036"," 2017-1493283344"," 2017-1493194388"," 2017-1493100924"," 2017-1493099796"," 2017-1493015168"," 2017-1493011504"," 2017-1487832701"," 2017-1487744717"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER A4-70 GSM",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"BOND PAPER LONG ",0,3,8,0,10,0,1,0,8,0,5,5,7,5,0,0,0,0,7,0,0,0,0,59
"BOND PAPER SHORT",0,10,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,29
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
