"Daily Approved Request Report from 12:00am to 11:59pm (Jul 14 2017)"
Item," 2017-1499996060 (2013-11-N445 - AP1)"," 2017-1499942874 (2007-03-M358 - ADMIN)"," 2017-1499925303 (2012-03-U294 - AR RENTALS)"," 2017-1499913246 (2007-03-M358 - ADMIN)"," 2017-1499913150 (2007-03-M358 - ADMIN)"," 2017-1499905319 (2010-08-V582 - AMD-PRESTIGE2)"," 2017-1499904908 (2007-03-M358 - ADMIN)"," 2017-1499841214 (2013-08-n289 - CRG)"," 2017-1499762145 (2010-08-V582 - AMD-PRESTIGE2)"," 2017-1499320235 (2010-08-V582 - AMD-PRESTIGE2)"," 2017-1499214506 (2010-08-V582 - AMD-PRESTIGE2)"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,2,0,0,0,4,0,0,6
"BALLPEN BLACK",0,0,0,0,0,0,0,5,4,0,0,9
"BALLPEN BLUE",0,0,0,0,0,0,0,5,0,0,0,5
"BALLPEN RED",0,0,0,0,0,0,0,5,0,0,0,5
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER A4-70 GSM",0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",5,0,0,0,0,2,0,3,3,0,0,13
"BOND PAPER SHORT",0,0,0,0,0,2,0,3,3,0,3,11
CALCULATOR,0,0,0,0,0,0,0,3,0,1,0,4
"CARBON PAPER LONG",50,0,0,0,0,0,0,0,0,0,0,50
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0
"COPY PAPER A4 ",0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,1,0,0,0,0,0,1,0,2
"CORRECTION TAPE REFILL",0,7,0,0,2,0,0,0,0,2,0,11
"Desk Tray 2 Layer",0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0
