"In and Out Report (Jan 15 2014 to Jan 20 2015)"
ID," Item Name"," Description"," Beginning Balance"," In"," Out"," Difference"," Quantity"
2," A2 Bond Paper"," Letter size bond paper"," 0"," 297"," 200"," +97"," 1097"
7," A2 Bond Paper"," Legal size bond paper"," 0"," 1754"," 534"," +1220"," 1220"
9," Car Engine"," Engine for auto"," 0"," 111"," 12"," +99"," 101"
13," Coleman Water Jug"," 1.5 liter water jug"," 0"," 105"," 5"," +100"," 100"
5," Lucky Me Instant Noodles"," Instant noodles"," 0"," 380"," 220"," +160"," 200"
10," Lucky Me Pancit Canton"," Instant pancit canton"," 0"," 400"," 200"," +200"," 200"
1," Mongoloid Pencil"," HB lead pencil"," 0"," 510"," 1120"," -610"," 440"
3," Orion Ruler"," Ruler"," 0"," 3120"," 3020"," +100"," 100"
8," Panda Ballpen"," Black ballpoint pen"," 0"," 500"," 95"," +405"," 405"
15," Pilot Ballpen"," Pilot brand 0.4 tip ballpoint pen"," 0"," 1151"," 181"," +970"," 970"
17," Scotch Tape"," Skats teyp ng bayan"," 0"," 500"," 15"," +485"," 485"
14," Sledge Hammer"," Hammer"," 0"," 572"," 567"," +5"," 5"
6," Staedtler Eraser"," Eraser"," 0"," 325"," 265"," +60"," 160"
16," Telephone"," Telephone with speakerphone and answering machine"," 0"," 104"," 104"," 0"," 0"
4," Watercolor"," Red color"," 0"," 1586"," 1012"," +574"," 599"
