"In and Out Report (Jun 13 2015 to Jul 13 2015)"
ID," Item Name"," Description"," Beginning Balance"," In"," Out"," Difference"," Quantity"
14," ALCOHOL"," Rubbing Alcohol"," 452"," 0"," 147"," -147"," 305"
9," BALLPEN BLACK"," Panda Ballpen"," 304"," 0"," 77"," -77"," 227"
10," BALLPEN BLUE"," Panda Ballpen "," 475"," 0"," 25"," -25"," 450"
11," BALLPEN RED"," Panda Ballpen"," 724"," 0"," 11"," -11"," 713"
2," BOND PAPER LONG "," 8.5 X 13 "," 732"," 0"," 214"," -214"," 518"
3," BOND PAPER SHORT"," 8.5 X 11"," 1699"," 0"," 64"," -64"," 1635"
17," CALCULATOR"," Casio Calculator"," 81"," 0"," 2"," -2"," 79"
16," CBP BOX "," File Storage Box"," 275"," 0"," 50"," -50"," 225"
21," CORRECTION TAPE "," Correction Tape "," 219"," 0"," 31"," -31"," 188"
22," CORRECTION TAPE REFILL"," Refill of Plus"," 8910"," 0"," 104"," -104"," 8806"
23," DOUBLE CLIP 1"""," Double Clip Size: 1"""," 0"," 171"," 111"," +60"," 60"
25," DOUBLE CLIP 3/4"""," Double Clip Size: 3/4"""," 0"," 170"," 34"," +136"," 136"
29," ENVELOPE LONG"," Brown Long"," 9852"," 0"," 60"," -60"," 9792"
28," ENVELOPE SHORT"," Short Brown"," 12431"," 0"," 40"," -40"," 12391"
82," EPSON BLACK INK"," Epson T6641"," 133"," 0"," 2"," -2"," 131"
83," EPSON INK CYAN "," Epson T6642"," 386"," 0"," 1"," -1"," 385"
84," EPSON INK MAGENTA"," Epson T6643"," 314"," 0"," 1"," -1"," 313"
85," EPSON INK YELLOW"," Epson T6644"," 234"," 0"," 1"," -1"," 233"
32," FASTENER PLASTIC"," Plastic Fastener"," 93"," 700"," 23"," +677"," 770"
34," FOLDER GREEN"," Expanded Folder"," 1839"," 0"," 190"," -190"," 1649"
35," FOLDER LONG"," White Folder "," 3075"," 0"," 117"," -117"," 2958"
106," HP INK 21 BLACK"," Ink cartridge #21 black"," 0"," 100"," 3"," +97"," 97"
107," HP INK 22 TRI-COLOR"," Ink cartridge #22 tri-color"," 0"," 100"," 2"," +98"," 98"
94," HP INK 704 BLACK"," Ink cartridge 704"," 11"," 95"," 2"," +93"," 104"
95," HP INK 704 COLORED"," Ink cartridge 704 "," 48"," 0"," 2"," -2"," 46"
69," HP TONER 05A"," Toner Cartridge CE505A"," 21"," 60"," 37"," +23"," 44"
75," HP TONER 125 CYAN"," Toner cartridge CB541A"," 11"," 0"," 1"," -1"," 10"
73," HP TONER 12A"," Toner Cartridge Q2612A"," 12"," 0"," 2"," -2"," 10"
70," HP TONER 35A"," Toner Cartridge CB435A"," 9"," 0"," 4"," -4"," 5"
72," HP TONER 53A"," Toner Cartridge Q2653A"," 55"," 0"," 4"," -4"," 51"
68," HP TONER 85A"," CE285A Toner Cartridge"," 123"," 0"," 61"," -61"," 62"
105," HP TONER CARTRIDGE 78A"," HP toner cartridge CE278A"," 0"," 100"," 2"," +98"," 98"
38," LETTER ENVELOPE"," Megaworld Letter Envelope"," 36500"," 0"," 200"," -200"," 36300"
37," LETTER HEAD"," Megaworld Letter Head"," 56000"," 0"," 1626"," -1626"," 54374"
67," MAGAZINE FILE"," Magazine File"," 42"," 0"," 6"," -6"," 36"
41," NEWSPRINT LONG"," Groundwood Long"," 92"," 175"," 62"," +113"," 205"
40," NEWSPRINT SHORT"," Groundwood Short"," 9"," 225"," 38"," +187"," 196"
44," PAPER CLIP BIG"," Paper Clip Big"," 0"," 100"," 37"," +63"," 63"
43," PAPER CLIP SMALL"," Paper Clip Small"," 9"," 100"," 20"," +80"," 89"
45," PENCIL MONGOL"," Pencil Mongol "," 128"," 0"," 36"," -36"," 92"
46," PENTEL PEN BLACK"," Pentel Marker "," 0"," 53"," 41"," +12"," 12"
48," PENTEL PEN BLUE"," Pentel Marker "," 0"," 24"," 0"," +24"," 24"
47," PENTEL PEN RED"," Pentel Marker Red"," 158"," 0"," 1"," -1"," 157"
49," PENTEL PEN WB BLACK"," Whiteboard Marker"," 122"," 0"," 2"," -2"," 120"
50," PENTEL PEN WB BLUE"," Whiteboard Marker "," 73"," 0"," 2"," -2"," 71"
4," PILOT BX-V5 SIGNPEN BLACK"," V5 HI-TECHPOINT 0.5 "," 5150"," 0"," 47"," -47"," 5103"
5," PILOT BX-V5 SIGNPEN BLUE"," V5 HI-TECHPOINT 0.5"," 3957"," 0"," 69"," -69"," 3888"
6," PILOT BX-V5 SIGNPEN GREEN"," V5 HI-TECHPOINT 0.5 "," 480"," 0"," 19"," -19"," 461"
7," PILOT BX-V5 SIGNPEN PURPLE"," V5 HI-TECHPOINT 0.5"," 304"," 0"," 14"," -14"," 290"
8," PILOT BX-V5 SIGNPEN RED"," V5 HI-TECHPOINT 0.5"," 1003"," 700"," 33"," +667"," 1670"
52," PUNCHER"," Puncher"," 68"," 0"," 4"," -4"," 64"
54," RUBBER BAND BIG"," Rubber Band Big"," 116"," 0"," 9"," -9"," 107"
53," RUBBER BAND SMALL"," Rubber Band Small"," 176"," 0"," 20"," -20"," 156"
55," RULER"," Ruler"," 15"," 0"," 4"," -4"," 11"
56," SCISSOR"," Scissor"," 90"," 0"," 3"," -3"," 87"
102," STABILO BLUE"," Stabilo Highlighter Blue"," 0"," 20"," 1"," +19"," 19"
104," STABILO GREEN"," Stabilo Highlighter Green"," 0"," 20"," 1"," +19"," 19"
57," STABILO ORANGE"," Stabilo Orange"," 20"," 20"," 12"," +8"," 28"
58," STABILO PINK"," Stabilo Pink"," 33"," 0"," 10"," -10"," 23"
103," STABILO YELLOW"," Stabilo Highlighter Yellow"," 0"," 20"," 2"," +18"," 18"
59," STAMP PAD INK BLUE"," Stamp Pad Ink"," 127"," 0"," 7"," -7"," 120"
100," STAPLE WIRE BIG"," Steves Staple Wire"," 0"," 181"," 91"," +90"," 90"
60," TAPE DISPENSER BIG"," Tape Dispenser"," 88"," 0"," 3"," -3"," 85"
64," TAPE DOUBLE ADHESIVE WITH FOAM"," Tape Adhesive w/ Foam"," 223"," 0"," 5"," -5"," 218"
63," TAPE DOUBLE ADHESIVE WITHOUT FOAM"," Tape Adhesive w/o Foam"," 231"," 0"," 1"," -1"," 230"
61," TAPE PACKING 2'"," Clear Tape"," 322"," 0"," 12"," -12"," 310"
62," TAPE SCOTCH 1'"," Scotch Tape "," 223"," 0"," 66"," -66"," 157"
65," TRANSMITTAL SHEET"," Transmittal Form"," 427"," 0"," 1"," -1"," 426"
66," TRASH CAN"," Trash Can"," 48"," 0"," 1"," -1"," 47"
