"List of Pending Item (Mar 1 2017 to Jul 31 2017)"
Quantity," Unit"," Item"
52," ream"," COPY PAPER A4 "
40," piece"," CD-R"
2," pad"," LOG BOOK"
3," roll"," TAPE MASKING"
7," pad"," LOGBOOK"
7," piece"," EPSON BLACK INK T6641"
2," piece"," HP TONER 35A"
8," piece"," HP TONER 05A"
10," piece"," HP TONER 85A"
33," roll"," TAPE SCOTCH 1'"
181," roll"," TAPE PACKING 2'"
16," box"," RUBBER BAND BIG"
28," ream"," NEWSPRINT LONG"
57," ream"," NEWSPRINT SHORT"
7500," piece"," LETTER HEAD"
35," piece"," FOLDER LONG"
2," piece"," CALCULATOR"
10," piece"," CBP BOX "
113," bottle"," ALCOHOL"
4," piece"," BATTERY AAA"
