"Reordering Point Report (Mar 22 2014 to Apr 15 2014)"
"Item Name"," Quantity Last Mar 22 2014"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A2 Bond Paper"," 100"," 0"," Need to Request"," 50"," 1000"
"A2 Bond Paper"," 1000"," 1000"," "," 30"," 200"
"Car Engine"," 98"," 100"," "," 50"," 200"
"Coleman Water Jug"," 100"," 95"," "," 50"," 200"
Keyboard," 0"," 200"," "," 50"," 100"
"Lucky Me Instant Noodles"," 60"," 200"," "," 100"," 200"
"Lucky Me Pancit Canton"," 0"," 0"," Need to Request"," 50"," 200"
"Mongoloid Pencil"," -640"," 392"," "," 50"," 200"
Mouse," 0"," 250"," "," 50"," 250"
"Orion Ruler"," 63"," 0"," Need to Request"," 50"," 200"
"Panda Ballpen"," 415"," 300"," "," 50"," 200"
"Pilot Ballpen"," 0"," 930"," "," 50"," 200"
"RJ Cable"," 0"," 490"," "," 50"," 500"
"Sledge Hammer"," 0"," 0"," Need to Request"," 50"," 200"
"Staedtler Eraser"," 100"," 170"," "," 50"," 200"
Telephone," 100"," 93"," "," 50"," 200"
Watercolor," 575"," 600"," "," 50"," 200"
