"Reordering Point Report "
"Item Name"," Quantity Last Oct 11 2014"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A2 Bond Paper"," 100"," 1101"," "," 50"," 1000"
"A2 Bond Paper"," 1030"," 1220"," "," 30"," 200"
"Coleman Water Jug"," 100"," 100"," "," 50"," 200"
"Lucky Me Instant Noodles"," 60"," 100"," Need to Request"," 100"," 200"
"Lucky Me Pancit Canton"," 0"," 200"," "," 50"," 200"
"Mongoloid Pencil"," -610"," 440"," "," 50"," 200"
"Orion Ruler"," 0"," 100"," "," 50"," 200"
"Panda Ballpen"," 405"," 405"," "," 50"," 200"
"Pilot Ballpen"," 980"," 970"," "," 50"," 200"
"Scotch Tape"," 0"," 490"," "," 100"," 10"
"Sledge Hammer"," 0"," 0"," Need to Request"," 50"," 200"
"Staedtler Eraser"," 70"," 160"," "," 50"," 200"
Telephone," 93"," 0"," Need to Request"," 50"," 200"
Watercolor," 575"," 600"," "," 50"," 200"
