"Reordering Point Report "
"Item Name"," Quantity Last Oct 18 2014"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A2 Bond Paper"," 100"," 7"," 6"," +1"," 1101"," "," 50"," 1000"
"A2 Bond Paper"," 1030"," 201"," 11"," +190"," 1220"," "," 30"," 200"
"Car Engine"," 98"," 1"," 0"," +1"," 101"," "," 50"," 200"
"Coleman Water Jug"," 100"," 0"," 0"," 0"," 100"," "," 50"," 200"
"Lucky Me Instant Noodles"," 60"," 135"," 220"," -85"," 15"," Need to Request"," 100"," 200"
"Lucky Me Pancit Canton"," 0"," 200"," 0"," +200"," 200"," "," 50"," 200"
"Mongoloid Pencil"," -610"," 0"," 0"," 0"," 440"," "," 50"," 200"
"Orion Ruler"," 0"," 100"," 0"," +100"," 100"," "," 50"," 200"
"Panda Ballpen"," 405"," 0"," 0"," 0"," 405"," "," 50"," 200"
"Pilot Ballpen"," 980"," 0"," 10"," -10"," 970"," "," 50"," 200"
"Scotch Tape"," 0"," 500"," 15"," +485"," 485"," "," 100"," 10"
"Sledge Hammer"," 0"," 10"," 5"," +5"," 5"," Need to Request"," 50"," 200"
"Staedtler Eraser"," 70"," 0"," 10"," -10"," 160"," "," 50"," 200"
Telephone," 93"," 0"," 93"," -93"," 0"," Need to Request"," 50"," 200"
Watercolor," 575"," 0"," 1"," -1"," 599"," "," 50"," 200"
