"Reordering Point Report "
"Item Name"," Quantity Last Dec 8 2014"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A2 Bond Paper"," 1220"," 0"," 0"," 0"," 1220"," "," 30"," 200"
"A2 Bond Paper"," 101"," 0"," 4"," -4"," 1097"," "," 50"," 1000"
"Car Engine"," 99"," 0"," 0"," 0"," 101"," "," 50"," 200"
"Coleman Water Jug"," 100"," 0"," 0"," 0"," 100"," "," 50"," 200"
"Lucky Me Instant Noodles"," 160"," 0"," 0"," 0"," 200"," "," 100"," 200"
"Lucky Me Pancit Canton"," 200"," 0"," 0"," 0"," 200"," "," 50"," 200"
"Mongoloid Pencil"," -610"," 0"," 0"," 0"," 440"," "," 50"," 200"
"Orion Ruler"," 100"," 0"," 0"," 0"," 100"," "," 50"," 200"
"Panda Ballpen"," 405"," 0"," 0"," 0"," 405"," "," 50"," 200"
"Pilot Ballpen"," 970"," 0"," 0"," 0"," 970"," "," 50"," 200"
"Scotch Tape"," 485"," 0"," 0"," 0"," 485"," "," 100"," 10"
"Sledge Hammer"," 5"," 0"," 0"," 0"," 5"," Need to Request"," 50"," 200"
"Staedtler Eraser"," 60"," 0"," 0"," 0"," 160"," "," 50"," 200"
Telephone," 0"," 0"," 0"," 0"," 0"," Need to Request"," 50"," 200"
Watercolor," 574"," 0"," 0"," 0"," 599"," "," 50"," 200"
