"Reordering Point Report "
"Item Name"," Quantity Last May 2 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A2 Bond Paper"," 93"," 0"," 0"," 0"," 1093"," "," 50"," 1000"
"A2 Bond Paper"," 1215"," 0"," 0"," 0"," 1215"," "," 30"," 200"
"Car Engine"," 89"," 0"," 0"," 0"," 91"," "," 50"," 200"
"Coleman Water Jug"," 94"," 0"," 0"," 0"," 3"," Need to Request"," 50"," 200"
"Lucky Me Instant Noodles"," 155"," 0"," 8"," -8"," 187"," "," 100"," 200"
"Lucky Me Pancit Canton"," 200"," 0"," 0"," 0"," 200"," "," 50"," 200"
"Mongoloid Pencil"," -620"," 0"," 0"," 0"," 430"," "," 50"," 200"
"Orion Ruler"," 100"," 0"," 0"," 0"," 100"," "," 50"," 200"
"Panda Ballpen"," 385"," 0"," 0"," 0"," 385"," "," 50"," 200"
"Pilot Ballpen"," 970"," 0"," 0"," 0"," 970"," "," 50"," 200"
"Scotch Tape"," 485"," 0"," 8"," -8"," 477"," "," 100"," 10"
"Sledge Hammer"," 60"," 0"," 0"," 0"," 60"," "," 50"," 200"
"Staedtler Eraser"," 60"," 0"," 0"," 0"," 160"," "," 50"," 200"
Telephone," 59"," 0"," 0"," 0"," 59"," "," 50"," 200"
Watercolor," 574"," 0"," 0"," 0"," 599"," "," 50"," 200"
