"Reordering Point Report "
"Item Name"," Quantity Last Jun 13 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
ALCOHOL," 452"," 0"," 147"," -147"," 305"," "," 250"," 250"
"BALLPEN BLACK"," 304"," 0"," 77"," -77"," 227"," "," 150"," 250"
"BALLPEN BLUE"," 475"," 0"," 25"," -25"," 450"," "," 150"," 250"
"BALLPEN RED"," 724"," 0"," 11"," -11"," 713"," "," 150"," 250"
"BATTERY AA"," 125"," 0"," 0"," 0"," 125"," "," 100"," 150"
"BATTERY AAA"," 301"," 0"," 0"," 0"," 301"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 732"," 0"," 214"," -214"," 518"," "," 150"," 250"
"BOND PAPER SHORT"," 1699"," 0"," 64"," -64"," 1635"," "," 150"," 250"
CALCULATOR," 81"," 0"," 2"," -2"," 79"," "," 50"," 150"
"CARBON PAPER LONG"," 3500"," 0"," 0"," 0"," 3500"," "," 100"," 150"
"CARBON PAPER SHORT"," 2900"," 0"," 0"," 0"," 2900"," "," 100"," 150"
"CBP BOX "," 275"," 0"," 50"," -50"," 225"," "," 150"," 250"
CDRW," 23"," 0"," 0"," 0"," 23"," Need to Request"," 100"," 150"
"CORRECTION TAPE "," 219"," 0"," 31"," -31"," 188"," "," 150"," 250"
"CORRECTION TAPE REFILL"," 8910"," 0"," 104"," -104"," 8806"," "," 150"," 250"
"DOUBLE CLIP 1"""," 0"," 171"," 111"," +60"," 60"," Need to Request"," 150"," 300"
"DOUBLE CLIP 3/4"""," 0"," 170"," 34"," +136"," 136"," Need to Request"," 150"," 350"
DVD," 25"," 0"," 0"," 0"," 25"," Need to Request"," 100"," 150"
DVDR," 190"," 0"," 0"," 0"," 190"," "," 150"," 250"
"ENVELOPE LONG"," 9852"," 0"," 60"," -60"," 9792"," "," 200"," 300"
"ENVELOPE SHORT"," 12431"," 0"," 40"," -40"," 12391"," "," 250"," 400"
"EPSON BLACK INK"," 133"," 0"," 2"," -2"," 131"," "," 100"," 150"
"EPSON INK CYAN "," 386"," 0"," 1"," -1"," 385"," "," 100"," 150"
"EPSON INK MAGENTA"," 314"," 0"," 1"," -1"," 313"," "," 100"," 150"
"EPSON INK YELLOW"," 234"," 0"," 1"," -1"," 233"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 93"," 700"," 23"," +677"," 770"," "," 150"," 250"
"FAX PAPER"," 50"," 0"," 0"," 0"," 50"," Need to Request"," 100"," 150"
"FOLDER GREEN"," 1839"," 0"," 190"," -190"," 1649"," "," 250"," 400"
"FOLDER LONG"," 3075"," 0"," 117"," -117"," 2958"," "," 250"," 400"
"FOLDER SHORT"," 3875"," 0"," 0"," 0"," 3875"," "," 250"," 350"
"HP INK 21 BLACK"," 0"," 100"," 3"," +97"," 97"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 0"," 100"," 2"," +98"," 98"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 106"," 0"," 0"," 0"," 106"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 206"," 0"," 0"," 0"," 206"," "," 100"," 150"
"HP INK 703 BLACK"," 56"," 0"," 0"," 0"," 56"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 74"," 0"," 0"," 0"," 74"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 11"," 95"," 2"," +93"," 104"," "," 100"," 150"
"HP INK 704 COLORED"," 48"," 0"," 2"," -2"," 46"," Need to Request"," 100"," 150"
"HP INK 920XL BLACK"," 375"," 0"," 0"," 0"," 375"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 279"," 0"," 0"," 0"," 279"," "," 100"," 150"
"HP INK 933XL CYAN"," 88"," 0"," 0"," 0"," 88"," Need to Request"," 100"," 150"
"HP INK 933XL MAGENTA"," 84"," 0"," 0"," 0"," 84"," Need to Request"," 100"," 150"
"HP INK 933XL YELLOW"," 75"," 0"," 0"," 0"," 75"," Need to Request"," 100"," 150"
"HP TONER 05A"," 21"," 60"," 37"," +23"," 44"," Need to Request"," 100"," 150"
"HP TONER 125 BLACK"," 9"," 0"," 0"," 0"," 9"," Need to Request"," 100"," 150"
"HP TONER 125 CYAN"," 11"," 0"," 1"," -1"," 10"," Need to Request"," 100"," 150"
"HP TONER 125 MAGENTA"," 7"," 0"," 0"," 0"," 7"," Need to Request"," 100"," 150"
"HP TONER 125 YELLOW"," 6"," 0"," 0"," 0"," 6"," Need to Request"," 100"," 150"
"HP TONER 12A"," 12"," 0"," 2"," -2"," 10"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 9"," 0"," 4"," -4"," 5"," Need to Request"," 100"," 150"
"HP TONER 36A"," 112"," 0"," 0"," 0"," 112"," "," 100"," 150"
"HP TONER 53A"," 55"," 0"," 4"," -4"," 51"," Need to Request"," 100"," 150"
"HP TONER 85A"," 123"," 0"," 61"," -61"," 62"," Need to Request"," 150"," 250"
"HP TONER CARTRIDGE 78A"," 0"," 100"," 2"," +98"," 98"," "," 50"," 150"
"LETTER ENVELOPE"," 36500"," 0"," 200"," -200"," 36300"," "," 500"," 2000"
"LETTER HEAD"," 56000"," 0"," 1626"," -1626"," 54374"," "," 500"," 2500"
"MAGAZINE FILE"," 42"," 0"," 6"," -6"," 36"," Need to Request"," 100"," 200"
"NEWSPRINT LONG"," 92"," 175"," 62"," +113"," 205"," "," 150"," 250"
"NEWSPRINT SHORT"," 9"," 225"," 38"," +187"," 196"," "," 150"," 250"
"PAPER CLIP BIG"," 0"," 100"," 37"," +63"," 63"," Need to Request"," 150"," 250"
"PAPER CLIP SMALL"," 9"," 100"," 20"," +80"," 89"," Need to Request"," 150"," 250"
"PENCIL MONGOL"," 128"," 0"," 36"," -36"," 92"," Need to Request"," 120"," 240"
