"Reordering Point Report (Jul 1 2015 to Dec 31 2015)"
"Item Name"," Quantity Last Jul 1 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 0"," 250"," 3"," +247"," 247"," "," 0"," 0"
ALCOHOL," 343"," 2130"," 1175"," +955"," 1292"," "," 250"," 250"
"BALLPEN BLACK"," 246"," 800"," 449"," +351"," 597"," "," 150"," 250"
"BALLPEN BLUE"," 462"," 800"," 188"," +612"," 1074"," "," 150"," 250"
"BALLPEN RED"," 724"," 600"," 106"," +494"," 1218"," "," 150"," 250"
"BATTERY AA"," 125"," 300"," 17"," +283"," 408"," "," 100"," 150"
"BATTERY AAA"," 301"," 0"," 14"," -14"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 577"," 1600"," 1462"," +138"," 815"," "," 150"," 250"
"BOND PAPER SHORT"," 1669"," 1300"," 955"," +345"," 2211"," "," 150"," 250"
CALCULATOR," 80"," 0"," 25"," -25"," 55"," "," 50"," 150"
"CARBON PAPER LONG"," 3500"," 0"," 20"," -20"," 3480"," "," 100"," 150"
"CARBON PAPER SHORT"," 2900"," 0"," 27"," -27"," 2873"," "," 100"," 150"
"CBP BOX "," 275"," 1701"," 954"," +747"," 1122"," "," 150"," 250"
"CD-R "," 0"," 800"," 0"," +800"," 800"," "," 150"," 250"
CDRW," 23"," 1600"," 30"," +1570"," 1593"," "," 100"," 150"
"CORRECTION TAPE "," 192"," 50"," 188"," -138"," 54"," Need to Request"," 150"," 250"
"CORRECTION TAPE REFILL"," 8835"," 180"," 516"," -336"," 8499"," "," 150"," 250"
"DOUBLE CLIP 1"," 83"," 1400"," 306"," +1094"," 1177"," "," 150"," 300"
"DOUBLE CLIP 2"," 98"," 900"," 189"," +711"," 809"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 149"," 1750"," 344"," +1406"," 1555"," "," 150"," 350"
DVD," 25"," 800"," 20"," +780"," 805"," "," 100"," 150"
DVDR," 190"," 1000"," 45"," +955"," 1145"," "," 150"," 250"
"ENVELOPE EXPANDED"," 0"," 1600"," 1031"," +569"," 569"," "," 0"," 0"
"ENVELOPE LONG"," 9812"," 500"," 2597"," -2097"," 7715"," "," 200"," 300"
"ENVELOPE SHORT"," 12431"," 0"," 725"," -725"," 11706"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 0"," 150"," 10"," +140"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 132"," 0"," 48"," -48"," 84"," Need to Request"," 100"," 150"
"EPSON INK CYAN T6642"," 386"," 0"," 14"," -14"," 372"," "," 100"," 150"
"EPSON INK MAGENTA T6643"," 314"," 0"," 13"," -13"," 301"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 234"," 0"," 16"," -16"," 218"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 0"," 150"," 22"," +128"," 128"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 777"," 700"," 305"," +395"," 1172"," "," 150"," 250"
"FAX PAPER"," 50"," 200"," 10"," +190"," 240"," "," 100"," 150"
"FOLDER GREEN"," 1699"," 4965"," 1457"," +3508"," 5147"," "," 250"," 400"
"FOLDER LONG"," 2975"," 7450"," 2888"," +4562"," 7537"," "," 250"," 400"
"FOLDER SHORT"," 3875"," 2000"," 259"," +1741"," 5616"," "," 250"," 350"
"GLUE "," 0"," 500"," 109"," +391"," 391"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 0"," 100"," 9"," +91"," 91"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 0"," 100"," 9"," +91"," 91"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 0"," 100"," 6"," +94"," 94"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 0"," 100"," 5"," +95"," 95"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 106"," 0"," 0"," 0"," 106"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 206"," 100"," 0"," +100"," 306"," "," 100"," 150"
"HP INK 703 BLACK"," 56"," 0"," 3"," -3"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 74"," 0"," 2"," -2"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 9"," 195"," 74"," +121"," 128"," "," 100"," 150"
"HP INK 704 COLORED"," 46"," 100"," 37"," +63"," 109"," "," 100"," 150"
"HP INK 920XL BLACK"," 375"," 0"," 1"," -1"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 279"," 500"," 250"," +250"," 529"," "," 100"," 150"
"HP INK 933XL CYAN"," 88"," 160"," 0"," +160"," 248"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 84"," 160"," 0"," +160"," 244"," "," 100"," 150"
"HP INK 933XL YELLOW"," 75"," 160"," 0"," +160"," 235"," "," 100"," 150"
"HP TONER 05A"," 57"," 300"," 296"," +4"," 160"," "," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 9"," 100"," 1"," +99"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 10"," 100"," 2"," +98"," 108"," "," 100"," 150"
"HP TONER 125 (CB542A) YELLOW"," 6"," 100"," 1"," +99"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 7"," 100"," 2"," +98"," 105"," "," 100"," 150"
"HP TONER 12A"," 12"," 50"," 32"," +18"," 30"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 6"," 50"," 28"," +22"," 28"," Need to Request"," 100"," 150"
"HP TONER 36A"," 112"," 0"," 1"," -1"," 111"," "," 100"," 150"
"HP TONER 53A"," 55"," 50"," 42"," +8"," 63"," Need to Request"," 100"," 150"
"HP TONER 80A "," 0"," 100"," 8"," +92"," 92"," Need to Request"," 150"," 200"
"HP TONER 85A"," 92"," 721"," 498"," +223"," 315"," "," 150"," 250"
"HP TONER CARTRIDGE 78A"," 0"," 100"," 17"," +83"," 83"," "," 50"," 150"
"LETTER ENVELOPE"," 36500"," 0"," 6841"," -6841"," 29659"," "," 500"," 2000"
"LETTER HEAD"," 54994"," 0"," 41100"," -41100"," 13894"," "," 500"," 2500"
"LOG BOOK"," 0"," 1000"," 40"," +960"," 960"," "," 150"," 300"
LOGBOOK," 0"," 100"," 51"," +49"," 49"," Need to Request"," 50"," 150"
"MAGAZINE FILE"," 36"," 454"," 100"," +354"," 390"," "," 100"," 200"
"MEMO PAD"," 13"," 2000"," 161"," +1839"," 1852"," "," 150"," 250"
"NEWSPRINT LONG"," 243"," 750"," 620"," +130"," 473"," "," 150"," 250"
"NEWSPRINT SHORT"," 208"," 750"," 568"," +182"," 484"," "," 150"," 250"
NOTEBOOK," 0"," 1274"," 51"," +1223"," 1223"," "," 50"," 250"
NOTEBOOK," 0"," 600"," 126"," +474"," 474"," "," 0"," 0"
"OPTICAL MOUSE "," 0"," 250"," 6"," +244"," 244"," "," 0"," 0"
"PAPER CLIP BIG"," 100"," 1000"," 303"," +697"," 795"," "," 150"," 250"
"PAPER CLIP SMALL"," 100"," 650"," 233"," +417"," 514"," "," 150"," 250"
"PENCIL MONGOL"," 110"," 500"," 202"," +298"," 408"," "," 120"," 240"
"PENTEL PEN BLACK"," 18"," 350"," 166"," +184"," 200"," "," 150"," 250"
"PENTEL PEN BLUE"," 24"," 350"," 23"," +327"," 350"," "," 150"," 250"
"PENTEL PEN RED"," 158"," 150"," 8"," +142"," 300"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 120"," 350"," 54"," +296"," 416"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 71"," 350"," 15"," +335"," 406"," "," 100"," 150"
"PENTEL PEN WB RED"," 260"," 350"," 4"," +346"," 606"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 5106"," 3408"," 1372"," +2036"," 7142"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 3897"," 864"," 506"," +358"," 4255"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 462"," 432"," 152"," +280"," 740"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 295"," 432"," 188"," +244"," 539"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 1670"," 1897"," 176"," +1721"," 3391"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 700"," 0"," 75"," -75"," 625"," "," 150"," 250"
