"Reordering Point Report "
"Item Name"," Quantity Last Jul 25 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
ALCOHOL," 517"," 6"," 197"," -191"," 326"," "," 250"," 250"
"BALLPEN BLACK"," 192"," 0"," 73"," -73"," 119"," Need to Request"," 150"," 250"
"BALLPEN BLUE"," 428"," 0"," 42"," -42"," 386"," "," 150"," 250"
"BALLPEN RED"," 687"," 0"," 18"," -18"," 669"," "," 150"," 250"
"BATTERY AA"," 125"," 50"," 0"," +50"," 175"," "," 100"," 150"
"BATTERY AAA"," 291"," 0"," 0"," 0"," 291"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 307"," 300"," 240"," +60"," 367"," "," 150"," 250"
"BOND PAPER SHORT"," 1503"," 0"," 176"," -176"," 1327"," "," 150"," 250"
CALCULATOR," 78"," 0"," 4"," -4"," 74"," "," 50"," 150"
"CARBON PAPER LONG"," 3500"," 0"," 0"," 0"," 3500"," "," 100"," 150"
"CARBON PAPER SHORT"," 2889"," 0"," 6"," -6"," 2883"," "," 100"," 150"
"CBP BOX "," 304"," 0"," 134"," -134"," 170"," "," 150"," 250"
"CD-R "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 150"," 250"
CDRW," 23"," 600"," 20"," +580"," 603"," "," 100"," 150"
"CORRECTION TAPE "," 167"," 0"," 46"," -46"," 121"," Need to Request"," 150"," 250"
"CORRECTION TAPE REFILL"," 8747"," 0"," 144"," -144"," 8603"," "," 150"," 250"
"DOUBLE CLIP 1"," 29"," 700"," 36"," +664"," 693"," "," 150"," 300"
"DOUBLE CLIP 2"," 93"," 400"," 8"," +392"," 485"," "," 100"," 200"
"DOUBLE CLIP 3/4"""," 444"," 700"," 92"," +608"," 1052"," "," 150"," 350"
DVD," 25"," 0"," 2"," -2"," 23"," Need to Request"," 100"," 150"
DVDR," 180"," 0"," 15"," -15"," 165"," "," 150"," 250"
"ENVELOPE EXPANDED"," 0"," 1000"," 205"," +795"," 795"," "," 0"," 0"
"ENVELOPE LONG"," 9682"," 0"," 788"," -788"," 8894"," "," 200"," 300"
"ENVELOPE SHORT"," 12321"," 0"," 165"," -165"," 12156"," "," 250"," 400"
"EPSON BLACK INK"," 129"," 0"," 7"," -7"," 122"," "," 100"," 150"
"EPSON INK CYAN "," 384"," 0"," 1"," -1"," 383"," "," 100"," 150"
"EPSON INK MAGENTA"," 312"," 0"," 1"," -1"," 311"," "," 100"," 150"
"EPSON INK YELLOW"," 232"," 0"," 3"," -3"," 229"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 754"," 0"," 52"," -52"," 702"," "," 150"," 250"
"FAX PAPER"," 49"," 0"," 5"," -5"," 44"," Need to Request"," 100"," 150"
"FOLDER GREEN"," 1651"," 0"," 522"," -522"," 1129"," "," 250"," 400"
"FOLDER LONG"," 2813"," 2070"," 1772"," +298"," 3111"," "," 250"," 400"
"FOLDER SHORT"," 3850"," 0"," 67"," -67"," 3783"," "," 250"," 350"
"GLUE "," 0"," 50"," 1"," +49"," 49"," Need to Request"," 50"," 150"
"HP INK 21 BLACK"," 97"," 0"," 1"," -1"," 96"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 98"," 0"," 1"," -1"," 97"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 106"," 0"," 0"," 0"," 106"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 206"," 0"," 0"," 0"," 206"," "," 100"," 150"
"HP INK 703 BLACK"," 56"," 0"," 2"," -2"," 54"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 74"," 0"," 2"," -2"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 83"," 0"," 8"," -8"," 75"," Need to Request"," 100"," 150"
"HP INK 704 COLORED"," 35"," 0"," 5"," -5"," 30"," Need to Request"," 100"," 150"
"HP INK 920XL BLACK"," 375"," 0"," 0"," 0"," 375"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
