"Reordering Point Report "
"Item Name"," Quantity Last Jan 24 2016"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 246"," 0"," 0"," 0"," 246"," "," 0"," 0"
ALCOHOL," 1637"," 504"," 79"," +425"," 2062"," "," 250"," 250"
"BALLPEN BLACK"," 556"," 0"," 10"," -10"," 546"," "," 150"," 250"
"BALLPEN BLUE"," 1058"," 0"," 0"," 0"," 1058"," "," 150"," 250"
"BALLPEN RED"," 1207"," 0"," 0"," 0"," 1207"," "," 150"," 250"
"BATTERY AA"," 408"," 0"," 0"," 0"," 408"," "," 100"," 150"
"BATTERY AAA"," 287"," 0"," 0"," 0"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 868"," 400"," 133"," +267"," 1135"," "," 150"," 250"
"BOND PAPER SHORT"," 2300"," 400"," 111"," +289"," 2589"," "," 150"," 250"
CALCULATOR," 49"," 0"," 0"," 0"," 49"," Need to Request"," 50"," 150"
"CARBON PAPER LONG"," 3480"," 0"," 0"," 0"," 3480"," "," 100"," 150"
"CARBON PAPER SHORT"," 2873"," 0"," 10"," -10"," 2863"," "," 100"," 150"
"CBP BOX "," 699"," 0"," 10"," -10"," 689"," "," 150"," 250"
CD-R," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"CD-R "," 789"," 200"," 20"," +180"," 969"," "," 150"," 250"
CDRW," 1593"," 0"," 0"," 0"," 1593"," "," 100"," 150"
"CORRECTION TAPE "," 49"," 350"," 2"," +348"," 397"," "," 150"," 250"
"CORRECTION TAPE REFILL"," 8427"," 0"," 96"," -96"," 8331"," "," 150"," 250"
"DOUBLE CLIP 1"," 1149"," 0"," 37"," -37"," 1112"," "," 150"," 300"
"DOUBLE CLIP 2"," 838"," 100"," 20"," +80"," 918"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 1522"," 0"," 23"," -23"," 1499"," "," 150"," 350"
DVD," 805"," 0"," 0"," 0"," 805"," "," 100"," 150"
DVDR," 1140"," 100"," 20"," +80"," 1220"," "," 150"," 250"
"ENVELOPE EXPANDED"," 344"," 2000"," 45"," +1955"," 2299"," "," 0"," 0"
"ENVELOPE LONG"," 9043"," 0"," 35"," -35"," 9008"," "," 200"," 300"
"ENVELOPE SHORT"," 14469"," 0"," 0"," 0"," 14469"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 140"," 0"," 0"," 0"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 78"," 0"," 4"," -4"," 74"," Need to Request"," 100"," 150"
"EPSON INK CYAN T6642"," 370"," 0"," 3"," -3"," 367"," "," 100"," 150"
"EPSON INK MAGENTA T6643"," 299"," 0"," 3"," -3"," 296"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 216"," 0"," 3"," -3"," 213"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 118"," 0"," 0"," 0"," 118"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 983"," 0"," 3"," -3"," 980"," "," 150"," 250"
"FAX PAPER"," 240"," 50"," 0"," +50"," 290"," "," 100"," 150"
"FOLDER GREEN"," 4897"," 1565"," 50"," +1515"," 6412"," "," 250"," 400"
"FOLDER LONG"," 7467"," 0"," 80"," -80"," 7387"," "," 250"," 400"
"FOLDER SHORT"," 5601"," 1500"," 5"," +1495"," 7096"," "," 250"," 350"
"GLUE "," 374"," 0"," 3"," -3"," 371"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 91"," 0"," 1"," -1"," 90"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 91"," 0"," 1"," -1"," 90"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 93"," 0"," 0"," 0"," 93"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 94"," 0"," 0"," 0"," 94"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 106"," 0"," 1"," -1"," 105"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 306"," 0"," 1"," -1"," 305"," "," 100"," 150"
"HP INK 703 BLACK"," 53"," 0"," 0"," 0"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 72"," 0"," 0"," 0"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 110"," 0"," 4"," -4"," 106"," "," 100"," 150"
"HP INK 704 COLORED"," 90"," 0"," 4"," -4"," 86"," Need to Request"," 100"," 150"
"HP INK 920XL BLACK"," 374"," 0"," 0"," 0"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 529"," 0"," 0"," 0"," 529"," "," 100"," 150"
"HP INK 933XL CYAN"," 248"," 0"," 0"," 0"," 248"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 244"," 0"," 0"," 0"," 244"," "," 100"," 150"
"HP INK 933XL YELLOW"," 235"," 0"," 0"," 0"," 235"," "," 100"," 150"
"HP TONER 05A"," 114"," 0"," 37"," -37"," 77"," Need to Request"," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB542A) YELLOW"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 12A"," 27"," 0"," 1"," -1"," 26"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 20"," 0"," 0"," 0"," 20"," Need to Request"," 100"," 150"
"HP TONER 36A"," 111"," 0"," 0"," 0"," 111"," "," 100"," 150"
"HP TONER 53A"," 63"," 0"," 2"," -2"," 61"," Need to Request"," 100"," 150"
"HP TONER 80A "," 90"," 0"," 0"," 0"," 90"," Need to Request"," 150"," 200"
"HP TONER 85A"," 436"," 0"," 70"," -70"," 366"," "," 150"," 250"
"HP TONER CARTRIDGE 78A"," 82"," 0"," 2"," -2"," 80"," "," 50"," 150"
"LETTER ENVELOPE"," 29634"," 0"," 78"," -78"," 29556"," "," 500"," 2000"
"LETTER HEAD"," 13894"," 35000"," 0"," +35000"," 48894"," "," 500"," 2500"
"LOG BOOK"," 958"," 0"," 5"," -5"," 953"," "," 150"," 300"
LOGBOOK," 42"," 0"," 0"," 0"," 42"," Need to Request"," 50"," 150"
"MAGAZINE FILE"," 532"," 0"," 28"," -28"," 504"," "," 100"," 200"
"MEMO PAD"," 1831"," 0"," 12"," -12"," 1819"," "," 150"," 250"
"NEWSPRINT LONG"," 481"," 150"," 10"," +140"," 621"," "," 150"," 250"
"NEWSPRINT SHORT"," 450"," 150"," 25"," +125"," 575"," "," 150"," 250"
NOTEBOOK," 474"," 0"," 0"," 0"," 474"," "," 0"," 0"
NOTEBOOK," 1219"," 0"," 6"," -6"," 1213"," "," 50"," 250"
"OPTICAL MOUSE "," 243"," 0"," 1"," -1"," 242"," "," 0"," 0"
"PAPER CLIP BIG"," 740"," 0"," 11"," -11"," 729"," "," 150"," 250"
"PAPER CLIP SMALL"," 462"," 0"," 14"," -14"," 448"," "," 150"," 250"
"PENCIL MONGOL"," 380"," 204"," 4"," +200"," 580"," "," 120"," 240"
"PENTEL PEN BLACK"," 302"," 80"," 1"," +79"," 381"," "," 150"," 250"
"PENTEL PEN BLUE"," 349"," 200"," 0"," +200"," 549"," "," 150"," 250"
"PENTEL PEN RED"," 298"," 200"," 0"," +200"," 498"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 414"," 0"," 0"," 0"," 414"," "," 100"," 150"
