"Reordering Point Report "
"Item Name"," Quantity Last Mar 14 2016"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 246"," 0"," 0"," 0"," 246"," "," 0"," 0"
ALCOHOL," 2013"," 0"," 0"," 0"," 2013"," "," 250"," 250"
"BALLPEN BLACK"," 526"," 0"," 0"," 0"," 526"," "," 150"," 250"
"BALLPEN BLUE"," 1043"," 0"," 0"," 0"," 1043"," "," 150"," 250"
"BALLPEN RED"," 1203"," 0"," 0"," 0"," 1203"," "," 150"," 250"
"BATTERY AA"," 408"," 0"," 0"," 0"," 408"," "," 100"," 150"
"BATTERY AAA"," 287"," 0"," 0"," 0"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 1015"," 0"," 33"," -33"," 982"," "," 150"," 250"
"BOND PAPER SHORT"," 2519"," 0"," 10"," -10"," 2509"," "," 150"," 250"
CALCULATOR," 48"," 0"," 0"," 0"," 48"," Need to Request"," 50"," 150"
"CARBON PAPER LONG"," 3449"," 0"," 0"," 0"," 3449"," "," 100"," 150"
"CARBON PAPER SHORT"," 2863"," 0"," 0"," 0"," 2863"," "," 100"," 150"
"CBP BOX "," 689"," 0"," 0"," 0"," 689"," "," 150"," 250"
"CD-R "," 969"," 0"," 0"," 0"," 969"," "," 150"," 250"
CD-R," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
CDRW," 1593"," 0"," 0"," 0"," 1593"," "," 100"," 150"
"CORRECTION TAPE "," 387"," 0"," 0"," 0"," 387"," "," 150"," 250"
"CORRECTION TAPE REFILL"," 8309"," 0"," 0"," 0"," 8309"," "," 150"," 250"
"DOUBLE CLIP 1"," 1104"," 0"," 0"," 0"," 1104"," "," 150"," 300"
"DOUBLE CLIP 2"," 903"," 0"," 0"," 0"," 903"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 1485"," 0"," 0"," 0"," 1485"," "," 150"," 350"
DVD," 805"," 0"," 0"," 0"," 805"," "," 100"," 150"
DVDR," 1200"," 0"," 0"," 0"," 1200"," "," 150"," 250"
"ENVELOPE EXPANDED"," 2244"," 0"," 0"," 0"," 2244"," "," 0"," 0"
"ENVELOPE LONG"," 9008"," 0"," 0"," 0"," 9008"," "," 200"," 300"
"ENVELOPE SHORT"," 14454"," 0"," 0"," 0"," 14454"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 140"," 0"," 0"," 0"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 70"," 0"," 2"," -2"," 68"," Need to Request"," 100"," 150"
"EPSON INK CYAN T6642"," 367"," 0"," 0"," 0"," 367"," "," 100"," 150"
