"Reordering Point Report (May 1 2016 to Dec 29 2016)"
"Item Name"," Quantity Last May 1 2016"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 246"," 0"," 3"," -3"," 243"," "," 0"," 0"
ALCOHOL," 2507"," 504"," 650"," -146"," 2361"," "," 250"," 250"
"BALLPEN BLACK"," 526"," 400"," 40"," +360"," 886"," "," 150"," 250"
"BALLPEN BLUE"," 1043"," 400"," 13"," +387"," 1430"," "," 150"," 250"
"BALLPEN RED"," 1297"," 800"," 450"," +350"," 1647"," "," 150"," 250"
"BATTERY AA"," 408"," 0"," 0"," 0"," 408"," "," 100"," 150"
"BATTERY AAA"," 287"," 0"," 0"," 0"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 883"," 701"," 524"," +177"," 1060"," "," 150"," 250"
"BOND PAPER SHORT"," 2509"," 650"," 280"," +370"," 2879"," "," 150"," 250"
CALCULATOR," 48"," 0"," 0"," 0"," 48"," Need to Request"," 50"," 150"
"CARBON PAPER LONG"," 3449"," 0"," 0"," 0"," 3449"," "," 100"," 150"
"CARBON PAPER SHORT"," 2863"," 0"," 0"," 0"," 2863"," "," 100"," 150"
"CBP BOX "," 689"," 100"," 0"," +100"," 789"," "," 150"," 250"
CD-R," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"CD-R "," 969"," 0"," 103"," -103"," 866"," "," 150"," 250"
CDRW," 1593"," 0"," 0"," 0"," 1593"," "," 100"," 150"
"CORRECTION TAPE "," 368"," 0"," 38"," -38"," 330"," "," 150"," 250"
"CORRECTION TAPE REFILL"," 8375"," 0"," 447"," -447"," 7928"," "," 150"," 250"
"DOUBLE CLIP 1"," 1081"," 0"," 107"," -107"," 974"," "," 150"," 300"
"DOUBLE CLIP 2"," 1001"," 0"," 84"," -84"," 917"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 1462"," 0"," 0"," 0"," 1462"," "," 150"," 350"
DVD," 805"," 0"," 15"," -15"," 790"," "," 100"," 150"
DVDR," 1195"," 0"," 35"," -35"," 1140"," "," 150"," 250"
"ENVELOPE EXPANDED"," 3138"," 0"," 442"," -442"," 2696"," "," 0"," 0"
"ENVELOPE LONG"," 9453"," 1000"," 520"," +480"," 9933"," "," 200"," 300"
"ENVELOPE SHORT"," 14901"," 0"," 328"," -328"," 14573"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 140"," 0"," 0"," 0"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 65"," 50"," 27"," +23"," 88"," Need to Request"," 100"," 150"
"EPSON INK CYAN T6642"," 365"," 0"," 22"," -22"," 343"," "," 100"," 150"
"EPSON INK MAGENTA T6643"," 294"," 0"," 21"," -21"," 273"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 211"," 0"," 22"," -22"," 189"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 103"," 0"," 0"," 0"," 103"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 951"," 0"," 62"," -62"," 889"," "," 150"," 250"
"FAX PAPER"," 290"," 0"," 13"," -13"," 277"," "," 100"," 150"
"FOLDER GREEN"," 6182"," 1200"," 45"," +1155"," 7337"," "," 250"," 400"
"FOLDER LONG"," 7337"," 4000"," 533"," +3467"," 10804"," "," 250"," 400"
"FOLDER SHORT"," 7072"," 0"," 230"," -230"," 6842"," "," 250"," 350"
"GLUE "," 359"," 0"," 39"," -39"," 320"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 90"," 0"," 6"," -6"," 84"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 90"," 0"," 4"," -4"," 86"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 90"," 0"," 3"," -3"," 87"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 91"," 0"," 2"," -2"," 89"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 104"," 0"," 1"," -1"," 103"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 304"," 0"," 1"," -1"," 303"," "," 100"," 150"
"HP INK 703 BLACK"," 53"," 0"," 0"," 0"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 72"," 0"," 0"," 0"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 100"," 100"," 13"," +87"," 187"," "," 100"," 150"
"HP INK 704 COLORED"," 79"," 100"," 6"," +94"," 173"," "," 100"," 150"
"HP INK 920XL BLACK"," 374"," 0"," 0"," 0"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 529"," 0"," 2"," -2"," 527"," "," 100"," 150"
"HP INK 933XL CYAN"," 248"," 0"," 2"," -2"," 246"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 244"," 0"," 2"," -2"," 242"," "," 100"," 150"
"HP INK 933XL YELLOW"," 235"," 0"," 2"," -2"," 233"," "," 100"," 150"
"HP TONER 05A"," 94"," 255"," 146"," +109"," 203"," "," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
