"Reordering Point Report (Mar 1 2017 to Jul 31 2017)"
"Item Name"," Quantity Last Mar 1 2017"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 243"," 250"," 0"," +250"," 493"," "," 0"," 0"
ALCOHOL," 2285"," 600"," 213"," +387"," 2672"," "," 250"," 250"
"BALLPEN BLACK"," 862"," 225"," 58"," +167"," 1029"," "," 150"," 250"
"BALLPEN BLUE"," 1418"," 225"," 17"," +208"," 1626"," "," 150"," 250"
"BALLPEN RED"," 1639"," 225"," 7"," +218"," 1857"," "," 150"," 250"
"BATTERY AA"," 408"," 0"," 0"," 0"," 408"," "," 100"," 150"
"BATTERY AAA"," 287"," 0"," 0"," 0"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER A4-70 GSM"," 0"," 200"," 23"," +177"," 177"," "," 50"," 100"
"BOND PAPER LONG "," 1390"," 800"," 382"," +418"," 1808"," "," 150"," 250"
"BOND PAPER SHORT"," 3244"," 800"," 157"," +643"," 3887"," "," 150"," 250"
CALCULATOR," 48"," 200"," 7"," +193"," 241"," "," 50"," 150"
"CARBON PAPER LONG"," 3449"," 300"," 4"," +296"," 3745"," "," 100"," 150"
"CARBON PAPER SHORT"," 2863"," 300"," 22"," +278"," 3141"," "," 100"," 150"
"CBP BOX "," 979"," 410"," 440"," -30"," 949"," "," 150"," 250"
"CD-R "," 866"," 0"," 0"," 0"," 866"," "," 150"," 250"
CD-R," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
CDRW," 1543"," 0"," 0"," 0"," 1543"," "," 100"," 150"
"COPY PAPER A4 "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 50"," 100"
"CORRECTION TAPE "," 330"," 2000"," 33"," +1967"," 2297"," "," 150"," 250"
"CORRECTION TAPE REFILL"," 7886"," 2000"," 126"," +1874"," 9760"," "," 150"," 250"
"Desk Tray 2 Layer"," 0"," 110"," 0"," +110"," 110"," "," 20"," 50"
"DOUBLE CLIP 1"," 974"," 0"," 4"," -4"," 970"," "," 150"," 300"
"DOUBLE CLIP 2"," 917"," 300"," 20"," +280"," 1197"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 1462"," 0"," 36"," -36"," 1426"," "," 150"," 350"
DVD-RW," 790"," 500"," 100"," +400"," 1190"," "," 100"," 150"
DVDR," 1118"," 500"," 0"," +500"," 1618"," "," 150"," 250"
"ENVELOPE EXPANDED"," 2536"," 2000"," 372"," +1628"," 4164"," "," 0"," 0"
"ENVELOPE LONG"," 9843"," 5000"," 180"," +4820"," 14663"," "," 200"," 300"
"ENVELOPE SHORT"," 14496"," 0"," 95"," -95"," 14401"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 140"," 0"," 0"," 0"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 88"," 150"," 10"," +140"," 228"," "," 100"," 150"
"EPSON INK CYAN T6642"," 343"," 0"," 3"," -3"," 340"," "," 100"," 150"
"EPSON INK MAGENTA T6643"," 273"," 0"," 3"," -3"," 270"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 189"," 0"," 3"," -3"," 186"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 103"," 0"," 0"," 0"," 103"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 889"," 0"," 0"," 0"," 889"," "," 150"," 250"
"FAX PAPER"," 277"," 0"," 0"," 0"," 277"," "," 100"," 150"
"File Tray"," 0"," 27"," 1"," +26"," 26"," "," 20"," 50"
"FOLDER GREEN"," 7337"," 2800"," 408"," +2392"," 9729"," "," 250"," 400"
"FOLDER LONG"," 10557"," 8000"," 170"," +7830"," 18387"," "," 250"," 400"
"FOLDER SHORT"," 6842"," 1000"," 25"," +975"," 7817"," "," 250"," 350"
"GLUE "," 314"," 250"," 38"," +212"," 526"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 84"," 0"," 0"," 0"," 84"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 86"," 0"," 0"," 0"," 86"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 85"," 0"," 1"," -1"," 84"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 88"," 0"," 1"," -1"," 87"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 103"," 0"," 0"," 0"," 103"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 303"," 0"," 0"," 0"," 303"," "," 100"," 150"
"HP INK 703 BLACK"," 53"," 0"," 0"," 0"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 72"," 0"," 0"," 0"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 187"," 0"," 4"," -4"," 183"," "," 100"," 150"
"HP INK 704 COLORED"," 173"," 0"," 3"," -3"," 170"," "," 100"," 150"
"HP INK 920XL BLACK"," 374"," 0"," 0"," 0"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 527"," 50"," 0"," +50"," 577"," "," 100"," 150"
"HP INK 933XL CYAN"," 246"," 50"," 0"," +50"," 296"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 242"," 50"," 0"," +50"," 292"," "," 100"," 150"
"HP INK 933XL YELLOW"," 233"," 50"," 0"," +50"," 283"," "," 100"," 150"
"HP TONER 05A"," 337"," 150"," 77"," +73"," 410"," "," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB542A) YELLOW"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 12A"," 75"," 0"," 23"," -23"," 52"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 28"," 50"," 7"," +43"," 71"," Need to Request"," 100"," 150"
"HP TONER 36A"," 109"," 0"," 2"," -2"," 107"," "," 100"," 150"
"HP TONER 53A"," 53"," 0"," 2"," -2"," 51"," Need to Request"," 100"," 150"
"HP TONER 80A "," 75"," 0"," 0"," 0"," 75"," Need to Request"," 150"," 200"
"HP TONER 85A"," 715"," 300"," 167"," +133"," 848"," "," 150"," 250"
"HP TONER CARTRIDGE 78A"," 66"," 0"," 6"," -6"," 60"," "," 50"," 150"
"LETTER ENVELOPE"," 26326"," 0"," 320"," -320"," 26006"," "," 500"," 2000"
"LETTER HEAD"," 137237"," 25000"," 6540"," +18460"," 155697"," "," 500"," 2500"
"LOG BOOK"," 848"," 100"," 4"," +96"," 944"," "," 150"," 300"
LOGBOOK," 71"," 100"," 12"," +88"," 159"," "," 50"," 150"
"MAGAZINE FILE"," 593"," 200"," 0"," +200"," 793"," "," 100"," 200"
"MEMO PAD"," 1685"," 0"," 66"," -66"," 1619"," "," 150"," 250"
"METAL FILE TRAY - 3 LAYERS"," 0"," 20"," 0"," +20"," 20"," Need to Request"," 25"," 50"
"NEWSPRINT LONG"," 934"," 200"," 55"," +145"," 1079"," "," 150"," 250"
"NEWSPRINT SHORT"," 693"," 200"," 55"," +145"," 838"," "," 150"," 250"
NOTEBOOK," 450"," 0"," 0"," 0"," 450"," "," 0"," 0"
NOTEBOOK," 1153"," 0"," 12"," -12"," 1141"," "," 50"," 250"
"OPTICAL MOUSE "," 231"," 250"," 1"," +249"," 480"," "," 0"," 0"
"PAPER CLIP BIG"," 590"," 500"," 71"," +429"," 1019"," "," 150"," 250"
"PAPER CLIP SMALL"," 545"," 500"," 68"," +432"," 977"," "," 150"," 250"
